Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation,Int Age
22135,22-24,Man,Taiwan,Master’s degree,Student,1-3 years,,,22
637,30-34,Man,India,Master’s degree,Data Scientist,3-5 years,$0 ($USD),"15,000-19,999",30
432,25-29,Man,Brazil,Some college/university study without earning a bachelor’s degree,Business Analyst,3-5 years,,"1,000-1,999",25
545,30-34,Man,Ukraine,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,$0 ($USD),"15,000-19,999",30
584,35-39,Man,I do not wish to disclose my location,Master’s degree,Business Analyst,I have never written code,$0 ($USD),$0-999,35
580,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),"4,000-4,999",22
243,18-21,Man,Egypt,Bachelor’s degree,Student,1-3 years,,,18
377,35-39,Woman,United States of America,Master’s degree,Currently not employed,< 1 years,,,35
527,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,18
642,30-34,Man,Brazil,No formal education past high school,Currently not employed,< 1 years,,,30
1512,40-44,Man,Kenya,Master’s degree,Research Scientist,3-5 years,"$1000-$9,999","10,000-14,999",40
680,18-21,Woman,India,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),$0-999,18
872,50-54,Man,Germany,Master’s degree,Currently not employed,1-3 years,,,50
298,25-29,Woman,India,Bachelor’s degree,Software Engineer,1-3 years,,$0-999,25
494,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$100-$999,"1,000-1,999",18
522,35-39,Man,Argentina,Master’s degree,Data Analyst,I have never written code,$100-$999,"4,000-4,999",35
493,22-24,Man,United States of America,Master’s degree,Data Analyst,1-3 years,"$10,000-$99,999","80,000-89,999",22
875,22-24,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,$1-$99,$0-999,22
411,25-29,Man,India,Master’s degree,Business Analyst,I have never written code,$1-$99,"5,000-7,499",25
86659,18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years,,,18
764,25-29,Prefer not to say,Other,Some college/university study without earning a bachelor’s degree,Data Analyst,5-10 years,"$1000-$9,999","25,000-29,999",25
2150,22-24,Man,South Korea,Bachelor’s degree,Student,1-3 years,,,22
290,18-21,Woman,Canada,Bachelor’s degree,Student,1-3 years,,,18
755,30-34,Man,India,Doctoral degree,Program/Project Manager,10-20 years,"$1000-$9,999","30,000-39,999",30
5580,35-39,Man,India,Master’s degree,Software Engineer,10-20 years,$1-$99,"40,000-49,999",35
880,22-24,Man,India,Bachelor’s degree,Other,< 1 years,$0 ($USD),"2,000-2,999",22
574,45-49,Man,India,Master’s degree,Program/Project Manager,< 1 years,$0 ($USD),"100,000-124,999",45
641,40-44,Woman,United States of America,Master’s degree,Data Analyst,3-5 years,$0 ($USD),"70,000-79,999",40
497,35-39,Woman,Spain,No formal education past high school,Developer Relations/Advocacy,< 1 years,$0 ($USD),"15,000-19,999",35
1769,35-39,Man,United States of America,Bachelor’s degree,Currently not employed,20+ years,,,35
663,22-24,Man,United Arab Emirates,Master’s degree,Research Scientist,3-5 years,"$1000-$9,999","15,000-19,999",22
408,25-29,Man,Japan,Doctoral degree,Data Scientist,< 1 years,$0 ($USD),"40,000-49,999",25
1227,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years,$100-$999,"7,500-9,999",25
918,25-29,Man,Russia,Master’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),$0-999,25
610,25-29,Man,Spain,Master’s degree,Data Scientist,3-5 years,$0 ($USD),"30,000-39,999",25
1031,25-29,Woman,India,Bachelor’s degree,Data Scientist,< 1 years,"$1000-$9,999","7,500-9,999",25
325,22-24,Man,Taiwan,Master’s degree,Student,< 1 years,,,22
730,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,18
1394,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),$0-999,18
280,22-24,Man,United States of America,Bachelor’s degree,Currently not employed,3-5 years,,,22
416,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,18
121,30-34,Man,India,Bachelor’s degree,Data Scientist,1-3 years,,,30
1563,25-29,Man,Russia,Doctoral degree,Data Scientist,3-5 years,$0 ($USD),"25,000-29,999",25
1736,35-39,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,35
789,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,25
105233,18-21,Man,Viet Nam,Master’s degree,Student,5-10 years,,,18
325,25-29,Woman,India,Master’s degree,Data Analyst,I have never written code,$0 ($USD),$0-999,25
581,30-34,Man,India,Bachelor’s degree,Data Analyst,5-10 years,$1-$99,"1,000-1,999",30
348,45-49,Man,Pakistan,Bachelor’s degree,Business Analyst,I have never written code,$0 ($USD),"30,000-39,999",45
862,30-34,Man,Nigeria,Bachelor’s degree,Student,3-5 years,,,30
792,40-44,Man,France,Master’s degree,Data Analyst,3-5 years,"$1000-$9,999","50,000-59,999",40
125,22-24,Man,United States of America,Bachelor’s degree,Software Engineer,3-5 years,,,22
1349,22-24,Woman,Sri Lanka,Bachelor’s degree,Student,< 1 years,,,22
714,18-21,Man,India,Master’s degree,Statistician,< 1 years,$0 ($USD),$0-999,18
786,40-44,Man,Other,Master’s degree,Data Scientist,1-3 years,$1-$99,"2,000-2,999",40
1044,60-69,Man,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,$1-$99,"7,500-9,999",60
51117,30-34,Woman,Nigeria,Master’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,30
406,18-21,Man,India,I prefer not to answer,Data Scientist,< 1 years,,,18
3686,45-49,Man,Egypt,Doctoral degree,Machine Learning Engineer,5-10 years,"$1000-$9,999","3,000-3,999",45
681,40-44,Man,Belgium,Master’s degree,Data Analyst,10-20 years,$0 ($USD),"70,000-79,999",40
442,22-24,Man,Egypt,Bachelor’s degree,Data Analyst,1-3 years,$1-$99,$0-999,22
278,25-29,Man,Uganda,Bachelor’s degree,Data Scientist,3-5 years,,,25
385,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,18
3258,50-54,Man,Colombia,Master’s degree,Software Engineer,20+ years,$0 ($USD),"100,000-124,999",50
569,50-54,Man,Mexico,Master’s degree,Program/Project Manager,3-5 years,$100-$999,"30,000-39,999",50
449,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
309,22-24,Woman,Mexico,Master’s degree,Student,< 1 years,,,22
486,22-24,Man,India,Master’s degree,Data Scientist,< 1 years,$0 ($USD),"1,000-1,999",22
1296,25-29,Man,Ukraine,Doctoral degree,Research Scientist,1-3 years,"$1000-$9,999","20,000-24,999",25
302781,25-29,Man,Other,Bachelor’s degree,Data Analyst,5-10 years,$0 ($USD),"40,000-49,999",25
4213,22-24,Man,Turkey,Bachelor’s degree,Data Scientist,1-3 years,$1-$99,"1,000-1,999",22
1019,25-29,Man,Taiwan,Master’s degree,Machine Learning Engineer,1-3 years,"$100,000 or more ($USD)","1,000-1,999",25
500,18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 years,$1-$99,$0-999,18
7932,25-29,Man,India,Master’s degree,Business Analyst,I have never written code,$0 ($USD),"5,000-7,499",25
936,22-24,Man,India,Master’s degree,Other,5-10 years,$0 ($USD),"5,000-7,499",22
337,18-21,Woman,United States of America,Bachelor’s degree,Student,3-5 years,,,18
214,18-21,Man,Bangladesh,Bachelor’s degree,Student,< 1 years,,,18
856,25-29,Man,India,Master’s degree,Data Scientist,< 1 years,"$10,000-$99,999","4,000-4,999",25
49615,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Student,5-10 years,,,25
678,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,18
269,18-21,Man,United States of America,Bachelor’s degree,Student,< 1 years,,,18
766,45-49,Man,France,Master’s degree,Machine Learning Engineer,20+ years,"$1000-$9,999","50,000-59,999",45
533,18-21,Man,Germany,Master’s degree,Machine Learning Engineer,1-3 years,$1-$99,"5,000-7,499",18
909,50-54,Man,United States of America,Bachelor’s degree,Other,20+ years,"$1000-$9,999","100,000-124,999",50
1236,55-59,Man,United States of America,Doctoral degree,Research Scientist,20+ years,$0 ($USD),"200,000-249,999",55
1451,18-21,Woman,Indonesia,Bachelor’s degree,Student,1-3 years,,,18
277,30-34,Man,India,Doctoral degree,Research Scientist,< 1 years,,$0-999,30
514,45-49,Man,Spain,Some college/university study without earning a bachelor’s degree,Program/Project Manager,3-5 years,$0 ($USD),$0-999,45
819,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
471,50-54,Man,France,Master’s degree,DBA/Database Engineer,20+ years,$0 ($USD),"40,000-49,999",50
932,50-54,Man,Other,Bachelor’s degree,Other,< 1 years,$0 ($USD),"10,000-14,999",50
1101,30-34,Man,Other,Bachelor’s degree,Data Analyst,< 1 years,"$1000-$9,999","1,000-1,999",30
330439,50-54,Man,Kenya,Doctoral degree,Research Scientist,< 1 years,,,50
185,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
936,25-29,Man,Nigeria,Bachelor’s degree,Other,I have never written code,$0 ($USD),"1,000-1,999",25
1147,22-24,Prefer not to say,China,Master’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),$0-999,22
1145,30-34,Man,Nigeria,Bachelor’s degree,Student,< 1 years,,,30
423,30-34,Man,India,Master’s degree,Machine Learning Engineer,< 1 years,$1-$99,$0-999,30
443,25-29,Man,United States of America,Master’s degree,Data Scientist,3-5 years,$0 ($USD),"100,000-124,999",25
387,25-29,Woman,Pakistan,Bachelor’s degree,Product Manager,I have never written code,$0 ($USD),"2,000-2,999",25
636,25-29,Man,India,Master’s degree,Program/Project Manager,1-3 years,"$10,000-$99,999","30,000-39,999",25
3534,40-44,Woman,France,Professional doctorate,Research Scientist,10-20 years,$0 ($USD),"25,000-29,999",40
930,50-54,Man,India,Doctoral degree,Other,5-10 years,$1-$99,"60,000-69,999",50
390,25-29,Man,Switzerland,Master’s degree,Student,3-5 years,,,25
1490,60-69,Man,United States of America,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"40,000-49,999",60
2762,45-49,Man,United States of America,Master’s degree,DBA/Database Engineer,10-20 years,$0 ($USD),"90,000-99,999",45
750,22-24,Man,Other,Bachelor’s degree,Data Scientist,3-5 years,$100-$999,$0-999,22
247,22-24,Woman,India,I prefer not to answer,Machine Learning Engineer,< 1 years,,,22
863,25-29,Man,India,Master’s degree,Data Analyst,5-10 years,"$1000-$9,999","15,000-19,999",25
2489,25-29,Woman,India,Master’s degree,Other,5-10 years,$0 ($USD),$0-999,25
753,40-44,Man,India,Bachelor’s degree,Business Analyst,3-5 years,$0 ($USD),"30,000-39,999",40
1033,18-21,Man,China,No formal education past high school,Other,1-3 years,$1-$99,$0-999,18
521,18-21,Woman,Colombia,Some college/university study without earning a bachelor’s degree,Data Engineer,< 1 years,$0 ($USD),$0-999,18
428,18-21,Man,India,Master’s degree,Research Scientist,< 1 years,$1-$99,$0-999,18
541,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years,,,22
636,45-49,Man,Argentina,Master’s degree,Business Analyst,5-10 years,"$1000-$9,999","10,000-14,999",45
1187,18-21,Man,Pakistan,Bachelor’s degree,Currently not employed,1-3 years,,,18
1197,45-49,Man,United States of America,Master’s degree,Program/Project Manager,20+ years,"$1000-$9,999","150,000-199,999",45
620,25-29,Woman,Taiwan,Some college/university study without earning a bachelor’s degree,Other,< 1 years,$0 ($USD),"10,000-14,999",25
1003,22-24,Man,China,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0 ($USD),$0-999,22
715,22-24,Woman,Indonesia,Master’s degree,Other,< 1 years,$1-$99,$0-999,22
1054,40-44,Man,Tunisia,Master’s degree,Machine Learning Engineer,20+ years,$100-$999,"20,000-24,999",40
1037,22-24,Man,Pakistan,Master’s degree,Data Scientist,3-5 years,"$1000-$9,999","4,000-4,999",22
802,50-54,Man,Spain,Bachelor’s degree,Software Engineer,10-20 years,$1-$99,"40,000-49,999",50
441,22-24,Woman,Malaysia,Bachelor’s degree,Student,1-3 years,,,22
1539,60-69,Man,Italy,Doctoral degree,Research Scientist,20+ years,"$10,000-$99,999","80,000-89,999",60
602,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,,22
441,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
536,22-24,Man,Ukraine,Master’s degree,Machine Learning Engineer,1-3 years,$100-$999,"50,000-59,999",22
731,35-39,Man,Egypt,Doctoral degree,Data Analyst,5-10 years,"$1000-$9,999","5,000-7,499",35
1405,25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years,$0 ($USD),$0-999,25
782,30-34,Man,Hong Kong (S.A.R.),Master’s degree,Research Scientist,3-5 years,$0 ($USD),"50,000-59,999",30
404,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,18
708,30-34,Man,India,Bachelor’s degree,Data Analyst,3-5 years,$100-$999,"300,000-499,999",30
587,30-34,Man,Brazil,Bachelor’s degree,Software Engineer,5-10 years,"$1000-$9,999","7,500-9,999",30
726,35-39,Man,Malaysia,Master’s degree,Other,3-5 years,$0 ($USD),"50,000-59,999",35
1356,30-34,Man,Pakistan,Master’s degree,Data Scientist,1-3 years,$0 ($USD),"7,500-9,999",30
206,25-29,Man,India,Bachelor’s degree,Data Engineer,1-3 years,,,25
4428,50-54,Woman,Romania,Doctoral degree,Research Scientist,I have never written code,$0 ($USD),"10,000-14,999",50
716,25-29,Man,Czech Republic,Doctoral degree,Student,5-10 years,,,25
381,45-49,Nonbinary,United Arab Emirates,Doctoral degree,Business Analyst,10-20 years,$1-$99,"1,000-1,999",45
423,30-34,Man,Other,Doctoral degree,Research Scientist,5-10 years,$0 ($USD),"15,000-19,999",30
171831,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,18
406,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
495,18-21,Man,Other,Bachelor’s degree,Data Analyst,< 1 years,,,18
673,22-24,Man,India,Bachelor’s degree,Student,3-5 years,,,22
1056,35-39,Man,India,Master’s degree,Data Scientist,20+ years,"$1000-$9,999","15,000-19,999",35
629,22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,22
2210,30-34,Man,India,Bachelor’s degree,Data Analyst,< 1 years,,,30
2767,18-21,Man,Nigeria,Bachelor’s degree,Student,1-3 years,,,18
953,35-39,Man,India,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,35
482,35-39,Woman,India,Doctoral degree,Student,5-10 years,,,35
445,25-29,Woman,India,Master’s degree,Data Analyst,3-5 years,,,25
716,40-44,Man,Russia,I prefer not to answer,DBA/Database Engineer,1-3 years,"$1000-$9,999","2,000-2,999",40
1001,25-29,Man,Bangladesh,Master’s degree,Research Scientist,3-5 years,$1-$99,$0-999,25
909,50-54,Woman,Canada,Doctoral degree,Research Scientist,3-5 years,$100-$999,"40,000-49,999",50
313,18-21,Man,China,Master’s degree,Student,< 1 years,,,18
7122,22-24,Man,United States of America,Master’s degree,Currently not employed,3-5 years,,,22
126,25-29,Man,Germany,Master’s degree,Research Scientist,< 1 years,,,25
2931,25-29,Man,Uganda,Bachelor’s degree,Machine Learning Engineer,3-5 years,"$1000-$9,999",$0-999,25
481,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,,25
537,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
838,22-24,Man,Other,Bachelor’s degree,Software Engineer,1-3 years,,,22
458,22-24,Man,Australia,Bachelor’s degree,Other,< 1 years,,"50,000-59,999",22
716,22-24,Prefer not to say,India,Master’s degree,Data Scientist,1-3 years,"$1000-$9,999","4,000-4,999",22
403,30-34,Man,Spain,Master’s degree,Software Engineer,3-5 years,$0 ($USD),"25,000-29,999",30
473,22-24,Man,India,Master’s degree,Program/Project Manager,< 1 years,$0 ($USD),"15,000-19,999",22
4022,30-34,Man,Iraq,Master’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,30
789,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
886,22-24,Man,Ethiopia,Bachelor’s degree,Student,3-5 years,,,22
660,50-54,Man,United States of America,Doctoral degree,Data Scientist,20+ years,"$10,000-$99,999","200,000-249,999",50
239,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,< 1 years,,,25
561,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
202,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
2049,35-39,Man,Japan,Some college/university study without earning a bachelor’s degree,Other,1-3 years,$100-$999,"3,000-3,999",35
568,30-34,Man,Norway,Master’s degree,Research Scientist,5-10 years,"$1000-$9,999","50,000-59,999",30
747,25-29,Woman,Other,Bachelor’s degree,Data Analyst,3-5 years,"$1000-$9,999",$0-999,25
868,18-21,Man,China,Bachelor’s degree,Student,3-5 years,,,18
921,35-39,Man,Egypt,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,35
658,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
13101,25-29,Man,India,Bachelor’s degree,Student,< 1 years,,,25
859,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
475,30-34,Man,Canada,Some college/university study without earning a bachelor’s degree,Data Engineer,5-10 years,"$1000-$9,999","25,000-29,999",30
2449,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,5-10 years,$0 ($USD),"15,000-19,999",30
891,18-21,Man,China,Master’s degree,Data Scientist,1-3 years,$1-$99,$0-999,18
216,35-39,Man,Bangladesh,Master’s degree,Program/Project Manager,10-20 years,,,35
103249,35-39,Woman,Russia,Doctoral degree,Currently not employed,< 1 years,,,35
455,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Student,1-3 years,,,25
2985,22-24,Man,India,Master’s degree,Student,3-5 years,,,22
512,45-49,Man,United States of America,Doctoral degree,Research Scientist,20+ years,"$100,000 or more ($USD)",$0-999,45
652,18-21,Man,India,Bachelor’s degree,Student,5-10 years,,,18
288,25-29,Woman,Kenya,Some college/university study without earning a bachelor’s degree,Data Analyst,I have never written code,"$1000-$9,999","3,000-3,999",25
403,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
584,50-54,Woman,Canada,Master’s degree,Data Scientist,3-5 years,"$100,000 or more ($USD)","90,000-99,999",50
1051,50-54,Man,South Korea,Doctoral degree,Data Scientist,20+ years,$100-$999,"40,000-49,999",50
1159,60-69,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,20+ years,$0 ($USD),"80,000-89,999",60
1910,22-24,Man,Russia,Bachelor’s degree,Student,1-3 years,,,22
968,25-29,Prefer not to say,India,I prefer not to answer,Software Engineer,5-10 years,"$100,000 or more ($USD)",">$1,000,000",25
619,35-39,Woman,Russia,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,$100-$999,"10,000-14,999",35
868,30-34,Man,Peru,Master’s degree,Student,1-3 years,,,30
423,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,,,18
2117,30-34,Man,India,Master’s degree,Student,1-3 years,,,30
217,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Machine Learning Engineer,5-10 years,,,25
996,35-39,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$100-$999,"2,000-2,999",35
547,18-21,Woman,Tunisia,I prefer not to answer,Student,5-10 years,,,18
466,25-29,Man,India,Master’s degree,Student,< 1 years,,,25
170,18-21,Man,Turkey,Professional doctorate,Program/Project Manager,1-3 years,$0 ($USD),$0-999,18
813,45-49,Man,Brazil,Doctoral degree,Research Scientist,1-3 years,"$10,000-$99,999","40,000-49,999",45
747,25-29,Woman,India,Master’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,25
34069,18-21,Man,Kenya,Bachelor’s degree,Student,1-3 years,,,18
2151,25-29,Woman,Hong Kong (S.A.R.),Bachelor’s degree,Software Engineer,5-10 years,,,25
2570,45-49,Man,Czech Republic,Master’s degree,Machine Learning Engineer,20+ years,"$10,000-$99,999","100,000-124,999",45
1478,25-29,Man,Japan,I prefer not to answer,Software Engineer,1-3 years,$0 ($USD),"30,000-39,999",25
1027,25-29,Man,Other,Master’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,25
1074,40-44,Man,Nigeria,Master’s degree,Product Manager,< 1 years,$0 ($USD),$0-999,40
133636,40-44,Man,United States of America,Master’s degree,Data Scientist,1-3 years,,,40
397,18-21,Man,India,Master’s degree,Data Scientist,1-3 years,$0 ($USD),"3,000-3,999",18
680,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,$100-$999,$0-999,25
598,30-34,Woman,Philippines,I prefer not to answer,Student,< 1 years,,,30
1845,35-39,Man,India,Master’s degree,Other,1-3 years,"$1000-$9,999","50,000-59,999",35
169,30-34,Man,United States of America,Master’s degree,Student,3-5 years,,,30
158,25-29,Woman,Brazil,Bachelor’s degree,Business Analyst,I have never written code,"$10,000-$99,999","5,000-7,499",25
715,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,18
558,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,$100-$999,"1,000-1,999",22
405,18-21,Man,India,Master’s degree,Student,3-5 years,,,18
824,25-29,Man,Philippines,Master’s degree,Other,< 1 years,$0 ($USD),"10,000-14,999",25
747,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,18
1133,45-49,Man,Ethiopia,Master’s degree,Student,5-10 years,,,45
715,45-49,Man,Nepal,Master’s degree,Data Scientist,20+ years,$100-$999,"10,000-14,999",45
14029,55-59,Man,Austria,Bachelor’s degree,Data Analyst,10-20 years,"$1000-$9,999","30,000-39,999",55
570,55-59,Man,Netherlands,Master’s degree,Research Scientist,1-3 years,"$1000-$9,999","30,000-39,999",55
401,22-24,Man,India,Master’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,22
587,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,10-20 years,"$10,000-$99,999","90,000-99,999",40
635,18-21,Man,India,I prefer not to answer,Machine Learning Engineer,1-3 years,$0 ($USD),$0-999,18
514,30-34,Man,India,Bachelor’s degree,Data Scientist,3-5 years,"$10,000-$99,999","40,000-49,999",30
471,22-24,Man,China,Master’s degree,Student,1-3 years,,,22
1021,22-24,Man,China,Bachelor’s degree,Currently not employed,1-3 years,,,22
1414,40-44,Man,Japan,Bachelor’s degree,Data Analyst,3-5 years,$0 ($USD),"80,000-89,999",40
570,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,3-5 years,$100-$999,"25,000-29,999",22
1124,45-49,Man,Other,Doctoral degree,Research Scientist,1-3 years,"$1000-$9,999","20,000-24,999",45
704320,25-29,Woman,Taiwan,Master’s degree,Student,1-3 years,,,25
328,25-29,Prefer not to say,United States of America,Master’s degree,Software Engineer,5-10 years,$0 ($USD),"300,000-499,999",25
536,45-49,Man,India,Master’s degree,Data Analyst,I have never written code,$100-$999,"30,000-39,999",45
454,40-44,Man,Other,Bachelor’s degree,Other,< 1 years,,,40
12260,22-24,Woman,South Africa,Bachelor’s degree,Student,1-3 years,,,22
452,40-44,Man,Malaysia,Some college/university study without earning a bachelor’s degree,Other,3-5 years,$0 ($USD),"25,000-29,999",40
9455,40-44,Man,United States of America,Doctoral degree,Data Scientist,5-10 years,$0 ($USD),"150,000-199,999",40
798,25-29,Man,India,Bachelor’s degree,Other,1-3 years,"$1000-$9,999","4,000-4,999",25
443,18-21,Man,India,No formal education past high school,Student,< 1 years,,,18
494,22-24,Man,China,Bachelor’s degree,Business Analyst,1-3 years,$1-$99,"15,000-19,999",22
997,35-39,Woman,Other,Master’s degree,Other,3-5 years,$0 ($USD),"125,000-149,999",35
692,25-29,Man,Taiwan,Doctoral degree,Research Scientist,< 1 years,$100-$999,$0-999,25
216,18-21,Man,Germany,Master’s degree,Student,1-3 years,,,18
646,18-21,Woman,China,Bachelor’s degree,Student,1-3 years,,,18
311,25-29,Man,Russia,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,25
327,50-54,Man,Singapore,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,50
556,18-21,Man,India,Master’s degree,Student,1-3 years,,,18
784,40-44,Man,Indonesia,Master’s degree,Data Scientist,10-20 years,"$10,000-$99,999","30,000-39,999",40
772,22-24,Man,Nigeria,Master’s degree,Data Analyst,< 1 years,$1-$99,$0-999,22
1015,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Statistician,< 1 years,$0 ($USD),$0-999,25
2512,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,18
687,22-24,Woman,India,Master’s degree,Data Analyst,1-3 years,$0 ($USD),"3,000-3,999",22
1382,40-44,Woman,Iraq,Master’s degree,Student,10-20 years,,,40
375,22-24,Woman,Canada,Master’s degree,Student,1-3 years,,,22
166660,25-29,Man,Pakistan,Bachelor’s degree,Research Scientist,3-5 years,,,25
1021,30-34,Man,Canada,Doctoral degree,Data Scientist,5-10 years,$0 ($USD),$0-999,30
710,45-49,Man,United States of America,Master’s degree,Other,20+ years,"$1000-$9,999","300,000-499,999",45
720,22-24,Man,Turkey,Master’s degree,Software Engineer,1-3 years,"$10,000-$99,999","4,000-4,999",22
668,30-34,Man,India,Master’s degree,Software Engineer,1-3 years,"$1000-$9,999","25,000-29,999",30
501,35-39,Man,India,Master’s degree,Machine Learning Engineer,< 1 years,$100-$999,$0-999,35
144,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,18
332,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,18
525,35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,I have never written code,$0 ($USD),"30,000-39,999",35
410,35-39,Man,Canada,Master’s degree,Student,1-3 years,,,35
740,60-69,Man,Poland,Doctoral degree,Research Scientist,20+ years,$0 ($USD),"40,000-49,999",60
588,22-24,Man,India,Master’s degree,Data Analyst,< 1 years,"$10,000-$99,999","10,000-14,999",22
323,18-21,Man,United States of America,Master’s degree,Research Scientist,3-5 years,$0 ($USD),"50,000-59,999",18
761,18-21,Man,Russia,Bachelor’s degree,Student,3-5 years,,,18
385,22-24,Man,United States of America,Master’s degree,Machine Learning Engineer,3-5 years,"$10,000-$99,999","125,000-149,999",22
782,60-69,Man,Argentina,Doctoral degree,Research Scientist,20+ years,$0 ($USD),"1,000-1,999",60
686,50-54,Man,United States of America,Master’s degree,Data Scientist,20+ years,"$100,000 or more ($USD)","150,000-199,999",50
1385,35-39,Man,South Africa,Bachelor’s degree,Statistician,1-3 years,"$1000-$9,999","50,000-59,999",35
426,25-29,Woman,Spain,Master’s degree,Data Analyst,< 1 years,$0 ($USD),"25,000-29,999",25
364,22-24,Woman,China,Master’s degree,Student,3-5 years,,,22
834,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,18
443,45-49,Man,Israel,Master’s degree,Research Scientist,5-10 years,$0 ($USD),"90,000-99,999",45
283,25-29,Woman,India,Master’s degree,Other,1-3 years,$0 ($USD),$0-999,25
1013,30-34,Man,Denmark,Doctoral degree,Data Scientist,5-10 years,"$10,000-$99,999","80,000-89,999",30
968,22-24,Man,Greece,Master’s degree,Student,5-10 years,,,22
672,45-49,Man,Canada,Doctoral degree,Research Scientist,20+ years,$0 ($USD),"100,000-124,999",45
945,50-54,Man,Other,Bachelor’s degree,Other,5-10 years,$100-$999,"300,000-499,999",50
897,25-29,Woman,India,Master’s degree,Data Scientist,3-5 years,$100-$999,$0-999,25
