Q1,Q2,Q3,Q5
18-21,Woman,India,Student
18-21,Woman,India,Student
18-21,Man,India,Student
55-59,Woman,Japan,Data Engineer
22-24,Woman,India,Data Engineer
18-21,Man,Kenya,Data Engineer
25-29,Man,Ecuador,Student
35-39,Man,Mexico,Other
45-49,Man,Sweden,Other
18-21,Man,Spain,Student
18-21,Woman,Poland,Data Analyst
18-21,Woman,Ukraine,Student
18-21,Woman,India,Student
18-21,Woman,India,Student
40-44,Woman,South Africa,Data Scientist
25-29,Man,Bangladesh,Currently not employed
45-49,Man,Japan,Machine Learning Engineer
22-24,Man,India,Currently not employed
25-29,Man,Brazil,Business Analyst
25-29,Man,United States of America,Data Analyst
22-24,Man,United States of America,Data Scientist
25-29,Man,Tunisia,Software Engineer
18-21,Man,Indonesia,Research Scientist
30-34,Man,India,Business Analyst
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Business Analyst
40-44,Man,United States of America,Machine Learning Engineer
30-34,Man,India,Research Scientist
30-34,Man,Indonesia,Data Scientist
60-69,Man,United States of America,Data Analyst
25-29,Man,India,Currently not employed
25-29,Woman,Pakistan,Data Analyst
30-34,Man,I do not wish to disclose my location,Student
30-34,Woman,United States of America,Research Scientist
50-54,Man,Spain,Other
30-34,Man,South Africa,Data Scientist
35-39,Man,India,Other
30-34,Woman,Russia,Research Scientist
35-39,Man,I do not wish to disclose my location,Currently not employed
35-39,Woman,Singapore,Currently not employed
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Data Scientist
45-49,Woman,United States of America,Data Analyst
45-49,Man,United States of America,Other
22-24,Man,Turkey,Currently not employed
18-21,Man,Indonesia,Student
25-29,Woman,South Korea,Currently not employed
18-21,Man,India,Student
35-39,Man,United States of America,Currently not employed
22-24,Man,United States of America,Student
25-29,Man,India,Research Scientist
40-44,Woman,Other,Business Analyst
18-21,Man,India,Machine Learning Engineer
22-24,Woman,India,Student
22-24,Man,India,Data Scientist
35-39,Man,India,Software Engineer
18-21,Man,India,Student
40-44,Man,Russia,Data Analyst
18-21,Man,India,Student
40-44,Man,India,Research Scientist
25-29,Man,India,Data Engineer
30-34,Man,Japan,Other
18-21,Man,India,Software Engineer
35-39,Man,Ukraine,Software Engineer
35-39,Man,Tunisia,Currently not employed
45-49,Man,India,Program/Project Manager
22-24,Man,India,Student
35-39,Man,Germany,Software Engineer
30-34,Woman,Russia,Currently not employed
30-34,Man,Germany,Statistician
18-21,Man,Nepal,Student
50-54,Man,Spain,Currently not employed
30-34,Man,India,Data Engineer
22-24,Man,Russia,Data Scientist
18-21,Man,Pakistan,Student
22-24,Man,India,Data Scientist
22-24,Woman,Egypt,Currently not employed
30-34,Man,Pakistan,Other
22-24,Man,Mexico,Student
22-24,Man,China,Machine Learning Engineer
30-34,Woman,Germany,Research Scientist
40-44,Man,Nigeria,Statistician
18-21,Man,India,Software Engineer
30-34,Man,China,Data Engineer
25-29,Man,Turkey,Software Engineer
25-29,Man,China,Software Engineer
25-29,Man,Ukraine,Other
22-24,Man,Kenya,Statistician
35-39,Woman,United States of America,Data Scientist
22-24,Woman,India,Student
18-21,Woman,India,Student
45-49,Woman,India,Research Scientist
22-24,Man,Viet Nam,Research Scientist
22-24,Man,United States of America,Other
40-44,Man,Taiwan,Data Scientist
50-54,Man,Hong Kong (S.A.R.),Other
25-29,Woman,Viet Nam,Software Engineer
35-39,Man,India,Software Engineer
30-34,Man,Nigeria,Research Scientist
25-29,Man,India,Other
25-29,Man,Greece,Currently not employed
30-34,Man,India,Currently not employed
50-54,Man,Ecuador,Research Scientist
22-24,Man,India,Machine Learning Engineer
18-21,Man,India,Software Engineer
25-29,Man,India,Business Analyst
30-34,Man,Other,Currently not employed
18-21,Woman,Egypt,Student
18-21,Man,India,Student
30-34,Man,Italy,Data Analyst
18-21,Man,India,Student
30-34,Man,Indonesia,Other
30-34,Man,Poland,Data Analyst
40-44,Man,India,Currently not employed
35-39,Man,Chile,Data Scientist
22-24,Man,Pakistan,Data Scientist
35-39,Man,India,Data Analyst
18-21,Man,Indonesia,Student
18-21,Man,Russia,Student
22-24,Man,China,Data Analyst
30-34,Woman,Other,Business Analyst
40-44,Man,Spain,Research Scientist
55-59,Man,Spain,Software Engineer
25-29,Man,Taiwan,Software Engineer
30-34,Man,Kenya,Other
25-29,Man,India,Data Scientist
22-24,Man,Other,Other
50-54,Man,United States of America,Program/Project Manager
30-34,Man,Argentina,Machine Learning Engineer
35-39,Man,Denmark,Data Analyst
35-39,Man,Germany,Data Engineer
18-21,Man,India,Student
35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Research Scientist
25-29,Woman,India,Other
30-34,Man,India,Research Scientist
22-24,Woman,Philippines,Other
18-21,Man,India,Student
30-34,Man,Malaysia,Software Engineer
18-21,Man,Philippines,Software Engineer
60-69,Man,Tunisia,Statistician
22-24,Man,India,Other
25-29,Man,India,Data Engineer
35-39,Man,India,Data Scientist
40-44,Man,Other,Software Engineer
30-34,Man,Canada,Other
22-24,Man,India,Currently not employed
18-21,Man,India,Student
30-34,Man,Turkey,Research Scientist
50-54,Nonbinary,United States of America,Student
25-29,Man,Russia,Currently not employed
25-29,Man,Philippines,Data Analyst
35-39,Woman,United States of America,Data Scientist
30-34,Man,India,Data Scientist
35-39,Man,India,Research Scientist
30-34,Man,Malaysia,Currently not employed
18-21,Man,Pakistan,Research Scientist
35-39,Man,France,Software Engineer
18-21,Man,China,Machine Learning Engineer
40-44,Man,Thailand,Software Engineer
22-24,Man,India,Student
70+,Man,United States of America,Data Analyst
18-21,Man,Ukraine,Data Scientist
22-24,Man,India,Data Scientist
30-34,Man,Egypt,Data Analyst
18-21,Man,Sri Lanka,Currently not employed
25-29,Man,Bangladesh,Data Analyst
25-29,Man,United States of America,Currently not employed
18-21,Woman,Canada,Student
55-59,Man,South Korea,Program/Project Manager
22-24,Man,Egypt,Student
25-29,Man,Canada,Student
22-24,Man,India,Student
25-29,Man,Ireland,Data Scientist
25-29,Man,India,Currently not employed
45-49,Man,India,Program/Project Manager
22-24,Woman,India,Software Engineer
30-34,Man,Japan,Other
22-24,Man,Nigeria,Student
25-29,Man,India,Other
22-24,Woman,India,Data Analyst
18-21,Man,China,Student
30-34,Woman,United States of America,Currently not employed
30-34,Woman,Other,Business Analyst
22-24,Man,Austria,Student
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Currently not employed
18-21,Woman,India,Software Engineer
22-24,Woman,Morocco,Student
18-21,Woman,India,Student
25-29,Man,India,Student
25-29,Man,Bangladesh,Program/Project Manager
30-34,Man,China,Research Scientist
22-24,Man,Sweden,Student
45-49,Man,Colombia,Currently not employed
18-21,Man,India,Student
25-29,Man,Russia,Data Scientist
25-29,Man,India,Other
25-29,Man,India,Data Analyst
35-39,Woman,Canada,Currently not employed
30-34,Man,Egypt,Data Analyst
22-24,Man,Tunisia,Software Engineer
18-21,Man,India,Student
18-21,Man,United States of America,Student
18-21,Woman,United Kingdom of Great Britain and Northern Ireland,Student
22-24,Man,India,Software Engineer
22-24,Man,India,Business Analyst
30-34,Man,India,Machine Learning Engineer
40-44,Man,Nigeria,Research Scientist
22-24,Man,United States of America,Data Analyst
35-39,Woman,South Africa,Data Engineer
45-49,Man,Russia,Data Scientist
18-21,Man,Hong Kong (S.A.R.),Student
22-24,Man,Japan,Student
30-34,Man,China,Machine Learning Engineer
18-21,Woman,India,Student
30-34,Man,India,Currently not employed
35-39,Man,Switzerland,Product Manager
18-21,Man,India,Student
30-34,Man,Russia,Currently not employed
60-69,Man,United States of America,Program/Project Manager
50-54,Woman,United Kingdom of Great Britain and Northern Ireland,Data Analyst
30-34,Man,Taiwan,Product Manager
45-49,Woman,Canada,Data Analyst
25-29,Woman,India,Machine Learning Engineer
18-21,Man,India,Student
30-34,Man,Greece,Currently not employed
30-34,Man,India,Business Analyst
30-34,Man,India,Machine Learning Engineer
45-49,Man,India,Other
60-69,Man,United States of America,Data Scientist
22-24,Man,Canada,Software Engineer
25-29,Man,Czech Republic,Software Engineer
40-44,Man,Egypt,Data Analyst
25-29,Man,India,Data Scientist
18-21,Man,Japan,Student
45-49,Man,Spain,Data Engineer
50-54,Man,United States of America,Data Analyst
18-21,Man,"Iran, Islamic Republic of...",Machine Learning Engineer
60-69,Man,United Arab Emirates,Data Scientist
18-21,Woman,India,Student
22-24,Man,Russia,Machine Learning Engineer
35-39,Man,India,Software Engineer
18-21,Man,India,Student
30-34,Man,India,Software Engineer
35-39,Man,Nigeria,Machine Learning Engineer
70+,Man,Other,Machine Learning Engineer
35-39,Man,Japan,Software Engineer
55-59,Man,Czech Republic,Other
30-34,Woman,Russia,Currently not employed
18-21,Man,India,Student
18-21,Man,India,Student
25-29,Man,India,Other
40-44,Man,Japan,Software Engineer
50-54,Man,Russia,Program/Project Manager
18-21,Woman,India,Student
25-29,Man,Brazil,Data Scientist
22-24,Man,India,Data Analyst
22-24,Man,India,Student
25-29,Woman,India,Machine Learning Engineer
30-34,Man,United States of America,Software Engineer
35-39,Man,Spain,Machine Learning Engineer
25-29,Man,Germany,Data Analyst
22-24,Woman,Taiwan,Student
35-39,Man,Netherlands,Machine Learning Engineer
22-24,Man,Pakistan,Data Scientist
30-34,Woman,China,Data Scientist
35-39,Man,India,Data Analyst
22-24,Man,United States of America,Business Analyst
25-29,Man,Pakistan,Machine Learning Engineer
22-24,Man,India,Data Scientist
35-39,Prefer not to say,I do not wish to disclose my location,Software Engineer
18-21,Man,Malaysia,Student
22-24,Man,India,Software Engineer
25-29,Man,United States of America,Business Analyst
22-24,Man,Greece,Student
18-21,Man,Israel,Student
22-24,Man,India,Student
22-24,Man,Russia,Data Scientist
25-29,Woman,Saudi Arabia,Data Analyst
60-69,Man,Spain,Student
40-44,Man,Japan,Research Scientist
22-24,Man,India,Machine Learning Engineer
30-34,Man,Tunisia,Data Analyst
25-29,Man,India,Machine Learning Engineer
30-34,Man,India,Currently not employed
25-29,Man,India,Software Engineer
50-54,Man,Japan,Research Scientist
25-29,Woman,Japan,Student
25-29,Man,China,Data Analyst
35-39,Man,Nepal,Currently not employed
40-44,Woman,United States of America,Data Analyst
30-34,Man,Singapore,Business Analyst
18-21,Man,India,Student
25-29,Man,Japan,Currently not employed
18-21,Man,Other,Currently not employed
55-59,Man,Mexico,Data Engineer
25-29,Man,India,Data Scientist
30-34,Man,Germany,Research Scientist
55-59,Woman,Argentina,Other
18-21,Man,India,Student
30-34,Man,India,Other
18-21,Man,India,Student
18-21,Man,India,Student
25-29,Man,France,Machine Learning Engineer
45-49,Man,United States of America,Other
45-49,Man,Other,Business Analyst
22-24,Man,India,Student
22-24,Woman,Czech Republic,Machine Learning Engineer
40-44,Man,Other,Machine Learning Engineer
25-29,Woman,United States of America,Data Analyst
22-24,Man,India,Data Scientist
60-69,Woman,United States of America,Data Analyst
25-29,Man,India,Data Scientist
18-21,Man,India,Software Engineer
35-39,Woman,United States of America,Data Scientist
25-29,Man,Russia,Program/Project Manager
30-34,Man,Other,Software Engineer
18-21,Man,India,Student
35-39,Woman,France,Data Scientist
40-44,Man,Argentina,Data Analyst
18-21,Man,India,Student
18-21,Woman,India,Student
25-29,Man,Bangladesh,Research Scientist
18-21,Man,India,Student
35-39,Man,Canada,Data Scientist
40-44,Woman,South Korea,Other
60-69,Man,United States of America,Other
18-21,Man,India,Currently not employed
22-24,Man,Pakistan,Student
25-29,Man,Nigeria,Machine Learning Engineer
40-44,Man,Netherlands,Other
35-39,Woman,Other,Software Engineer
25-29,Man,Japan,Program/Project Manager
50-54,Man,Spain,Business Analyst
18-21,Man,India,Student
25-29,Woman,France,Student
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Statistician
25-29,Man,Pakistan,Currently not employed
50-54,Woman,United States of America,Program/Project Manager
22-24,Man,Egypt,Machine Learning Engineer
30-34,Man,Brazil,Other
25-29,Woman,India,Other
30-34,Man,Poland,Data Scientist
22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Machine Learning Engineer
25-29,Man,Nigeria,Data Analyst
25-29,Woman,India,Student
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Research Scientist
35-39,Man,India,Currently not employed
22-24,Man,South Korea,Software Engineer
18-21,Man,Other,Student
35-39,Woman,India,Research Scientist
30-34,Man,United States of America,Data Analyst
22-24,Man,India,Data Engineer
22-24,Man,Belgium,Student
18-21,Man,Egypt,Student
55-59,Man,United States of America,Machine Learning Engineer
30-34,Man,South Africa,Other
25-29,Man,India,Program/Project Manager
25-29,Woman,Other,Research Scientist
35-39,Man,Ecuador,Software Engineer
50-54,Man,United States of America,Currently not employed
30-34,Man,Pakistan,Software Engineer
30-34,Man,Pakistan,Student
30-34,Man,Australia,Other
25-29,Man,Japan,Data Scientist
22-24,Man,China,Student
25-29,Man,Canada,Data Analyst
35-39,Man,Singapore,Research Scientist
35-39,Woman,Colombia,Data Analyst
30-34,Man,United States of America,Other
18-21,Woman,Algeria,Student
25-29,Man,Pakistan,Data Scientist
30-34,Woman,Germany,Research Scientist
30-34,Man,Kenya,Data Analyst
30-34,Man,Other,Student
18-21,Man,Nigeria,Student
35-39,Woman,United States of America,Data Analyst
50-54,Man,United Kingdom of Great Britain and Northern Ireland,Software Engineer
55-59,Woman,France,Business Analyst
40-44,Man,Egypt,Data Scientist
60-69,Man,United States of America,Other
18-21,Man,Other,Data Scientist
18-21,Man,Germany,Student
18-21,Man,India,Student
35-39,Man,Russia,Program/Project Manager
18-21,Man,Canada,Student
25-29,Man,India,Business Analyst
60-69,Woman,Russia,Data Scientist
25-29,Man,Pakistan,Currently not employed
25-29,Man,India,Data Analyst
18-21,Man,Philippines,Student
40-44,Man,Italy,Data Scientist
22-24,Man,Tunisia,Student
25-29,Man,India,Research Scientist
25-29,Man,India,Other
35-39,Man,United Arab Emirates,DBA/Database Engineer
25-29,Man,Morocco,Software Engineer
18-21,Man,India,Student
22-24,Prefer not to say,India,Research Scientist
22-24,Man,Poland,Student
30-34,Man,Russia,Student
30-34,Man,Australia,Data Scientist
22-24,Man,France,Data Scientist
25-29,Man,India,Data Analyst
45-49,Man,Japan,Currently not employed
25-29,Man,South Korea,Data Scientist
35-39,Man,France,Software Engineer
30-34,Man,India,Research Scientist
18-21,Man,India,Machine Learning Engineer
45-49,Man,United States of America,Currently not employed
22-24,Man,Russia,Data Scientist
18-21,Man,India,Student
25-29,Man,Italy,Machine Learning Engineer
18-21,Man,India,Student
18-21,Woman,India,Student
40-44,Woman,United States of America,Data Scientist
55-59,Man,Poland,Research Scientist
25-29,Man,Thailand,Research Scientist
25-29,Man,Peru,Student
25-29,Man,Australia,Data Scientist
35-39,Man,United States of America,Data Scientist
22-24,Man,Canada,Software Engineer
25-29,Man,Turkey,Data Scientist
35-39,Man,Australia,Statistician
18-21,Man,India,Student
30-34,Woman,Germany,Other
30-34,Man,United States of America,Data Analyst
55-59,Man,Japan,Currently not employed
35-39,Man,Indonesia,Other
18-21,Man,India,Data Analyst
22-24,Woman,Indonesia,Data Scientist
22-24,Man,India,Business Analyst
25-29,Man,United States of America,Data Analyst
35-39,Man,United States of America,Data Scientist
22-24,Man,Brazil,Student
22-24,Man,India,Student
22-24,Man,Other,Software Engineer
30-34,Man,Germany,Data Scientist
30-34,Man,Kenya,DBA/Database Engineer
30-34,Man,Canada,Other
18-21,Man,Pakistan,Student
18-21,Man,Pakistan,Student
22-24,Man,Russia,Student
45-49,Man,United States of America,Product Manager
22-24,Man,Kazakhstan,Data Scientist
25-29,Man,Brazil,Data Analyst
22-24,Prefer not to say,Russia,Currently not employed
22-24,Woman,India,Student
25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Student
25-29,Man,Nigeria,Program/Project Manager
30-34,Man,China,Currently not employed
40-44,Man,Brazil,Data Analyst
25-29,Man,Pakistan,Machine Learning Engineer
25-29,Woman,Nigeria,Data Analyst
30-34,Man,India,Other
18-21,Man,India,Data Analyst
18-21,Woman,Pakistan,Student
60-69,Man,Other,Student
18-21,Prefer not to say,India,Student
18-21,Man,India,Student
25-29,Man,India,Research Scientist
22-24,Woman,South Korea,Student
60-69,Man,Australia,Data Scientist
22-24,Woman,India,Research Scientist
35-39,Man,Mexico,Data Analyst
30-34,Woman,Other,Student
55-59,Man,Portugal,Business Analyst
25-29,Man,India,Data Scientist
25-29,Man,Mexico,Student
18-21,Woman,Turkey,Student
25-29,Man,Spain,Other
40-44,Man,Spain,Other
40-44,Man,Taiwan,Other
30-34,Man,United States of America,Software Engineer
18-21,Man,India,Student
40-44,Man,United States of America,Business Analyst
35-39,Man,Brazil,Software Engineer
30-34,Man,India,Software Engineer
25-29,Man,Nigeria,Student
35-39,Man,France,Machine Learning Engineer
40-44,Woman,United States of America,Program/Project Manager
18-21,Man,Bangladesh,Student
25-29,Man,Egypt,Data Scientist
30-34,Man,Singapore,Program/Project Manager
30-34,Prefer not to say,United States of America,Data Engineer
18-21,Man,India,Student
40-44,Man,South Korea,Research Scientist
40-44,Man,Australia,Other
30-34,Man,Mexico,Student
35-39,Man,India,Program/Project Manager
18-21,Man,India,Student
50-54,Prefer not to say,I do not wish to disclose my location,Software Engineer
45-49,Woman,United Kingdom of Great Britain and Northern Ireland,Data Scientist
25-29,Man,Colombia,Data Scientist
30-34,Man,Other,Data Analyst
18-21,Man,India,Student
22-24,Man,Tunisia,Student
50-54,Man,Argentina,Software Engineer
22-24,Man,Bangladesh,Business Analyst
50-54,Man,Turkey,Data Scientist
22-24,Man,Mexico,Statistician
25-29,Man,India,Data Scientist
18-21,Man,India,Student
18-21,Man,India,Student
18-21,Man,Kazakhstan,Student
35-39,Man,Italy,Business Analyst
40-44,Man,Ireland,Data Scientist
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Business Analyst
60-69,Man,United States of America,Other
30-34,Woman,United States of America,Software Engineer
25-29,Man,France,Data Scientist
60-69,Man,United States of America,Data Analyst
30-34,Man,India,Statistician
22-24,Man,Other,Data Scientist
18-21,Man,China,Student
25-29,Man,Brazil,Student
50-54,Man,South Korea,Program/Project Manager
18-21,Man,Nepal,Software Engineer
18-21,Man,India,Student
25-29,Man,South Korea,Software Engineer
22-24,Man,Brazil,Data Analyst
18-21,Woman,India,Student
40-44,Man,Germany,Currently not employed
25-29,Man,Japan,Software Engineer
35-39,Man,Germany,Software Engineer
18-21,Man,Pakistan,Data Scientist
35-39,Man,United States of America,Machine Learning Engineer
45-49,Man,Canada,Business Analyst
30-34,Woman,Brazil,Data Scientist
40-44,Man,Mexico,Other
50-54,Woman,Argentina,Business Analyst
18-21,Woman,India,Student
55-59,Man,Germany,Machine Learning Engineer
35-39,Man,Turkey,Data Scientist
50-54,Man,Spain,Business Analyst
30-34,Man,United States of America,Data Analyst
18-21,Man,India,Data Scientist
18-21,Woman,India,Machine Learning Engineer
18-21,Man,Mexico,Student
22-24,Woman,India,Business Analyst
30-34,Man,United States of America,Data Scientist
40-44,Woman,Argentina,Program/Project Manager
18-21,Man,India,Student
30-34,Man,Russia,Data Analyst
25-29,Man,Saudi Arabia,Statistician
40-44,Man,Russia,Program/Project Manager
22-24,Woman,Philippines,DBA/Database Engineer
18-21,Woman,India,Student
18-21,Man,India,Student
35-39,Man,Russia,Currently not employed
22-24,Man,India,Software Engineer
30-34,Man,United Arab Emirates,Data Scientist
22-24,Woman,Nigeria,Student
30-34,Woman,United States of America,Data Analyst
25-29,Man,India,Currently not employed
25-29,Man,Japan,Other
35-39,Man,United States of America,Research Scientist
35-39,Man,Belarus,Software Engineer
40-44,Man,China,Software Engineer
25-29,Man,Tunisia,Student
30-34,Man,United States of America,Product Manager
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Student
45-49,Man,Brazil,Student
18-21,Man,India,Data Scientist
45-49,Man,United States of America,Data Scientist
55-59,Man,Ireland,Research Scientist
22-24,Man,Nepal,Data Scientist
40-44,Man,Other,Other
25-29,Woman,France,Machine Learning Engineer
22-24,Man,Poland,Data Scientist
22-24,Woman,India,Student
25-29,Man,South Korea,Data Scientist
25-29,Woman,Taiwan,Data Analyst
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Software Engineer
30-34,Man,Other,Data Scientist
25-29,Man,Spain,Program/Project Manager
22-24,Prefer not to say,China,Student
22-24,Man,Canada,Software Engineer
25-29,Man,United States of America,Currently not employed
25-29,Woman,Netherlands,Student
35-39,Man,Nigeria,Research Scientist
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Software Engineer
25-29,Woman,India,Data Scientist
22-24,Man,Egypt,Data Scientist
25-29,Man,United States of America,Data Analyst
25-29,Woman,South Korea,Machine Learning Engineer
22-24,Man,United States of America,Data Scientist
60-69,Man,France,Machine Learning Engineer
30-34,Man,United States of America,Other
25-29,Man,France,Data Scientist
18-21,Woman,India,Student
55-59,Man,Spain,Research Scientist
40-44,Man,Sweden,Research Scientist
18-21,Woman,Indonesia,Student
30-34,Man,Poland,Software Engineer
25-29,Man,Japan,Student
22-24,Man,India,Other
18-21,Man,India,Currently not employed
18-21,Man,Egypt,Student
30-34,Man,"Iran, Islamic Republic of...",Data Scientist
25-29,Man,India,Currently not employed
22-24,Man,Greece,Currently not employed
30-34,Woman,Russia,Data Scientist
55-59,Man,United Kingdom of Great Britain and Northern Ireland,Statistician
22-24,Man,Austria,Data Analyst
25-29,Woman,"Iran, Islamic Republic of...",Student
22-24,Man,China,Student
18-21,Prefer not to say,Bangladesh,Student
45-49,Man,Spain,Program/Project Manager
50-54,Man,Other,DBA/Database Engineer
45-49,Man,Belgium,Other
45-49,Man,Spain,Other
22-24,Man,Morocco,Student
18-21,Woman,India,Student
25-29,Man,United States of America,Student
50-54,Man,United States of America,Other
40-44,Man,Other,Data Analyst
25-29,Man,India,Data Scientist
50-54,Man,Spain,Program/Project Manager
35-39,Man,Chile,Business Analyst
30-34,Man,India,Data Analyst
25-29,Woman,Malaysia,Research Scientist
18-21,Man,Netherlands,Student
25-29,Man,United States of America,Program/Project Manager
60-69,Man,Japan,Program/Project Manager
30-34,Man,Greece,Other
30-34,Man,Israel,Data Scientist
25-29,Man,South Africa,Data Scientist
18-21,Woman,Indonesia,Student
18-21,Man,Turkey,Student
35-39,Woman,Iraq,Other
30-34,Man,Turkey,Data Engineer
25-29,Man,United States of America,Research Scientist
22-24,Man,India,Data Engineer
25-29,Man,United States of America,Data Analyst
25-29,Man,Other,Currently not employed
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Program/Project Manager
22-24,Man,India,Student
35-39,Man,Colombia,Data Scientist
35-39,Man,Australia,Student
60-69,Man,United States of America,Currently not employed
25-29,Man,South Korea,Student
40-44,Man,Israel,Program/Project Manager
25-29,Man,Argentina,Business Analyst
22-24,Woman,Taiwan,Student
22-24,Man,Bangladesh,Student
30-34,Woman,United States of America,Data Scientist
25-29,Man,India,Other
25-29,Man,India,Data Analyst
35-39,Man,Chile,Software Engineer
18-21,Man,Bangladesh,Software Engineer
55-59,Woman,United States of America,Data Scientist
22-24,Man,Malaysia,Data Scientist
30-34,Woman,India,Software Engineer
30-34,Man,Japan,Data Analyst
35-39,Woman,Russia,Student
25-29,Man,Morocco,Data Analyst
25-29,Man,Russia,Program/Project Manager
22-24,Man,India,Student
45-49,Prefer not to say,Australia,Product Manager
22-24,Man,Pakistan,Data Scientist
22-24,Man,Chile,Data Scientist
18-21,Man,Brazil,Student
22-24,Man,Japan,Student
25-29,Man,Ghana,Data Scientist
30-34,Woman,India,Other
22-24,Man,Indonesia,Currently not employed
30-34,Man,Colombia,Data Scientist
40-44,Man,Germany,Program/Project Manager
22-24,Man,Kenya,Student
55-59,Man,Canada,Research Scientist
25-29,Man,South Africa,Software Engineer
55-59,Man,France,Data Engineer
30-34,Man,Germany,Program/Project Manager
18-21,Man,India,Machine Learning Engineer
25-29,Man,Germany,Data Engineer
18-21,Man,Peru,Student
35-39,Woman,Tunisia,Student
25-29,Man,South Korea,Machine Learning Engineer
18-21,Man,India,Student
18-21,Man,India,Student
18-21,Man,India,Student
18-21,Woman,Saudi Arabia,Other
40-44,Man,United States of America,Research Scientist
30-34,Woman,Russia,Business Analyst
18-21,Woman,India,Student
40-44,Woman,India,Data Analyst
25-29,Woman,India,Software Engineer
60-69,Man,Argentina,Data Analyst
55-59,Man,China,Student
40-44,Man,India,Data Scientist
40-44,Woman,Malaysia,Program/Project Manager
22-24,Woman,India,Software Engineer
35-39,Man,Japan,Data Engineer
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Software Engineer
25-29,Man,Ukraine,Research Scientist
25-29,Woman,Nigeria,Data Scientist
18-21,Woman,India,Student
55-59,Man,United States of America,Developer Relations/Advocacy
35-39,Man,Turkey,Software Engineer
25-29,Man,Pakistan,Software Engineer
18-21,Man,India,Student
45-49,Man,Other,Data Scientist
30-34,Man,Russia,Student
25-29,Man,Bangladesh,Statistician
22-24,Man,United States of America,Data Scientist
40-44,Man,India,Product Manager
55-59,Man,Indonesia,Data Scientist
45-49,Man,South Korea,Data Scientist
45-49,Man,Sweden,Program/Project Manager
18-21,Woman,India,Student
22-24,Woman,India,Software Engineer
30-34,Man,India,Other
18-21,Man,Other,Student
50-54,Man,Australia,Other
25-29,Man,United Arab Emirates,Data Analyst
25-29,Woman,United States of America,Data Analyst
18-21,Man,China,Student
22-24,Man,India,Student
25-29,Woman,"Iran, Islamic Republic of...",Student
45-49,Man,Philippines,Data Scientist
25-29,Man,Pakistan,Machine Learning Engineer
55-59,Man,United States of America,Data Scientist
30-34,Man,Poland,Research Scientist
30-34,Man,Colombia,Business Analyst
25-29,Woman,Other,Other
30-34,Woman,France,Research Scientist
25-29,Woman,Indonesia,Statistician
35-39,Man,Chile,Data Analyst
25-29,Man,Canada,Data Analyst
22-24,Woman,India,Data Scientist
18-21,Man,India,Student
60-69,Man,Other,Program/Project Manager
35-39,Man,Ukraine,Business Analyst
22-24,Woman,Kenya,Data Analyst
22-24,Man,Australia,Software Engineer
22-24,Man,China,Student
45-49,Man,United States of America,Data Scientist
35-39,Man,Viet Nam,Other
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Business Analyst
60-69,Man,Other,Business Analyst
40-44,Man,United States of America,Research Scientist
25-29,Man,India,Student
22-24,Man,China,Student
22-24,Man,India,Other
35-39,Man,Canada,Currently not employed
25-29,Man,Brazil,Research Scientist
18-21,Man,India,Data Scientist
45-49,Woman,Japan,Research Scientist
18-21,Man,India,Student
55-59,Man,Poland,Business Analyst
18-21,Woman,India,Data Analyst
35-39,Man,United States of America,Software Engineer
25-29,Woman,United States of America,Currently not employed
25-29,Man,Malaysia,Program/Project Manager
22-24,Man,India,Software Engineer
30-34,Man,United Arab Emirates,Data Analyst
25-29,Man,United States of America,Business Analyst
25-29,Man,China,Data Analyst
25-29,Man,United States of America,Program/Project Manager
35-39,Man,Other,Other
25-29,Man,India,Data Scientist
30-34,Man,United States of America,Data Analyst
22-24,Prefer not to say,Germany,Student
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Machine Learning Engineer
30-34,Man,South Korea,Research Scientist
22-24,Man,India,Data Engineer
40-44,Man,Other,Business Analyst
55-59,Man,Spain,Software Engineer
30-34,Man,Ireland,Data Scientist
18-21,Man,India,Student
22-24,Man,India,Software Engineer
35-39,Man,Germany,Other
55-59,Man,Ireland,Other
22-24,Man,South Korea,Student
30-34,Man,Egypt,Student
35-39,Man,Italy,Machine Learning Engineer
18-21,Man,Bangladesh,Student
22-24,Man,China,Data Analyst
18-21,Man,India,Machine Learning Engineer
18-21,Man,India,Software Engineer
18-21,Man,France,Machine Learning Engineer
25-29,Prefer not to say,I do not wish to disclose my location,Student
40-44,Man,Germany,Data Scientist
40-44,Man,India,Data Scientist
18-21,Man,India,Student
18-21,Man,Bangladesh,Student
18-21,Man,India,Student
30-34,Man,United States of America,Data Scientist
50-54,Man,Japan,Software Engineer
