,Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation,Salary
12534,159,25-29,Man,India,Master’s degree,Software Engineer,5-10 years,,,
12535,816,25-29,Man,Bangladesh,I prefer not to answer,Currently not employed,< 1 years,,,
12536,538,55-59,Man,United States of America,Master’s degree,Software Engineer,20+ years,"$10,000-$99,999","200,000-249,999",225000.0
12537,482,22-24,Man,China,Bachelor’s degree,Student,< 1 years,,,
12538,679,50-54,Woman,Chile,Master’s degree,Currently not employed,< 1 years,,,
12539,291,22-24,Woman,India,Master’s degree,Student,< 1 years,,,
12540,1842,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
12541,952,22-24,Man,Nigeria,Master’s degree,Student,3-5 years,,,
12542,291,18-21,Man,India,Master’s degree,Student,1-3 years,,,
12543,900,30-34,Man,Viet Nam,Bachelor’s degree,Machine Learning Engineer,< 1 years,$1-$99,"1,000-1,999",1500.0
12544,188,25-29,Woman,China,Master’s degree,Data Scientist,1-3 years,,,
12545,290,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,
12546,585,22-24,Man,Malaysia,Bachelor’s degree,Program/Project Manager,< 1 years,,,
12547,896,25-29,Man,India,Master’s degree,Statistician,3-5 years,$0 ($USD),$0-999,500.0
12548,467,25-29,Woman,India,Master’s degree,Data Analyst,I have never written code,$0 ($USD),"70,000-79,999",75000.0
12549,617,25-29,Man,United States of America,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","100,000-124,999",120000.0
12550,394,25-29,Man,United States of America,Bachelor’s degree,Student,3-5 years,,,
12551,584,25-29,Man,India,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"3,000-3,999",3500.0
12552,731,45-49,Man,Spain,Master’s degree,Data Scientist,10-20 years,"$1000-$9,999","50,000-59,999",55000.0
12553,412,22-24,Man,India,Bachelor’s degree,Student,< 1 years,,,
12554,512,18-21,Woman,India,Master’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),$0-999,500.0
12555,3199,25-29,Man,Japan,Master’s degree,Other,1-3 years,$100-$999,"2,000-2,999",25000.0
12556,647,22-24,Man,India,Bachelor’s degree,Data Analyst,3-5 years,$0 ($USD),"4,000-4,999",4500.0
12557,756,18-21,Man,Sri Lanka,Bachelor’s degree,Student,< 1 years,,,
12558,556,18-21,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,< 1 years,$1-$99,$0-999,500.0
12559,690,25-29,Woman,United Arab Emirates,Master’s degree,Statistician,< 1 years,,$0-999,500.0
12560,383,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),$0-999,500.0
12561,136,25-29,Man,Australia,No formal education past high school,Data Scientist,1-3 years,$100-$999,"1,000-1,999",1500.0
12562,310,22-24,Woman,India,Master’s degree,Data Scientist,1-3 years,$1-$99,$0-999,500.0
12563,500,18-21,Man,Other,Bachelor’s degree,Student,< 1 years,,,
12564,471,40-44,Woman,India,Doctoral degree,Other,< 1 years,$0 ($USD),$0-999,500.0
12565,777,22-24,Man,"Iran, Islamic Republic of...",Bachelor’s degree,Software Engineer,5-10 years,,,
12566,499,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
12567,549,30-34,Man,Spain,Master’s degree,Software Engineer,10-20 years,"$100,000 or more ($USD)","50,000-59,999",55000.0
12568,820,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,
12569,616,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,500.0
12570,1004,22-24,Man,Turkey,Bachelor’s degree,Software Engineer,< 1 years,$100-$999,"15,000-19,999",17000.0
12571,868,45-49,Woman,United States of America,Master’s degree,Student,1-3 years,,,
12572,296,25-29,Woman,India,Master’s degree,Machine Learning Engineer,I have never written code,$0 ($USD),"2,000-2,999",25000.0
12573,1382,35-39,Man,Russia,Master’s degree,Research Scientist,< 1 years,$0 ($USD),"15,000-19,999",17000.0
12574,1643,30-34,Man,Ireland,Doctoral degree,Machine Learning Engineer,5-10 years,"$10,000-$99,999","100,000-124,999",120000.0
12575,935,18-21,Woman,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,$100-$999,$0-999,500.0
12576,2066902,22-24,Woman,Sri Lanka,Bachelor’s degree,Student,1-3 years,,,
12577,1373,35-39,Man,India,Master’s degree,Program/Project Manager,10-20 years,$0 ($USD),"15,000-19,999",17000.0
12578,636,30-34,Man,Other,Master’s degree,Data Analyst,3-5 years,$0 ($USD),"15,000-19,999",17000.0
12579,540,22-24,Woman,India,Master’s degree,Data Analyst,1-3 years,$0 ($USD),"7,500-9,999",8500.0
12580,549,25-29,Man,India,Bachelor’s degree,Student,< 1 years,,,
12581,292,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,,,
12582,1298,25-29,Man,India,Doctoral degree,Machine Learning Engineer,3-5 years,$0 ($USD),$0-999,500.0
12583,8220,25-29,Man,Mexico,Doctoral degree,Data Scientist,< 1 years,$0 ($USD),$0-999,500.0
12584,511,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,$100-$999,"25,000-29,999",27000.0
12585,10368,45-49,Man,Spain,Master’s degree,Program/Project Manager,< 1 years,$0 ($USD),"25,000-29,999",27000.0
12586,1315,45-49,Man,Spain,Master’s degree,Software Engineer,20+ years,$0 ($USD),"60,000-69,999",65000.0
12587,312,18-21,Woman,India,Bachelor’s degree,Software Engineer,< 1 years,,,
12588,335,30-34,Man,Brazil,Bachelor’s degree,Data Analyst,1-3 years,"$1000-$9,999","20,000-24,999",23000.0
12589,535,18-21,Man,India,Master’s degree,Student,1-3 years,,,
12590,682136,45-49,Man,Russia,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,
12591,240,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,,,
12592,2508,45-49,Prefer not to say,Canada,Bachelor’s degree,Machine Learning Engineer,20+ years,"$100,000 or more ($USD)","50,000-59,999",55000.0
12593,384,30-34,Man,United States of America,Master’s degree,Other,3-5 years,$0 ($USD),"10,000-14,999",12000.0
12594,485,25-29,Man,Australia,No formal education past high school,Data Engineer,1-3 years,"$1000-$9,999","70,000-79,999",75000.0
12595,469,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,
12596,1010,18-21,Man,Bangladesh,Bachelor’s degree,Data Scientist,1-3 years,$1-$99,$0-999,500.0
12597,4580,18-21,Woman,Australia,Bachelor’s degree,Student,< 1 years,,,
12598,756,25-29,Man,Israel,Doctoral degree,Research Scientist,10-20 years,"$10,000-$99,999","5,000-7,499",65000.0
12599,3844,30-34,Woman,Other,Professional doctorate,Data Analyst,5-10 years,$0 ($USD),"10,000-14,999",12000.0
12600,390,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
12601,472,25-29,Man,Egypt,Doctoral degree,Machine Learning Engineer,1-3 years,,,
12602,2386,30-34,Man,Malaysia,Master’s degree,Data Scientist,3-5 years,,,
12603,3647,30-34,Man,Other,Master’s degree,Business Analyst,1-3 years,,,
12604,134,22-24,Woman,Saudi Arabia,Bachelor’s degree,Data Scientist,1-3 years,,,
12605,325,40-44,Man,India,Bachelor’s degree,Program/Project Manager,I have never written code,$100-$999,"1,000-1,999",1500.0
12606,385,18-21,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,5-10 years,,,
12607,569,30-34,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$1-$99,"1,000-1,999",1500.0
12608,3311,40-44,Man,India,Master’s degree,Software Engineer,10-20 years,,,
12609,244,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,
12610,211,25-29,Man,South Korea,Bachelor’s degree,Student,3-5 years,,,
12611,938,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,10-20 years,"$1000-$9,999","80,000-89,999",85000.0
12612,778,35-39,Woman,South Africa,Master’s degree,Software Engineer,I have never written code,"$10,000-$99,999","60,000-69,999",65000.0
12613,756,18-21,Man,Poland,Master’s degree,Research Scientist,1-3 years,$0 ($USD),"10,000-14,999",12000.0
12614,460,45-49,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years,,,
12615,863,22-24,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,$100-$999,"4,000-4,999",4500.0
12616,1488,25-29,Man,Egypt,Bachelor’s degree,Data Scientist,3-5 years,$100-$999,"5,000-7,499",65000.0
12617,511,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,5-10 years,,,
12618,893,30-34,Man,South Korea,Master’s degree,Research Scientist,10-20 years,$0 ($USD),"70,000-79,999",75000.0
12619,663,25-29,Man,India,Bachelor’s degree,Student,< 1 years,,,
12620,420,40-44,Man,Russia,Master’s degree,Data Analyst,1-3 years,,,
12621,429,40-44,Man,Mexico,Master’s degree,Data Analyst,5-10 years,$0 ($USD),$0-999,500.0
12622,482,22-24,Man,Bangladesh,Master’s degree,Other,3-5 years,$0 ($USD),"7,500-9,999",8500.0
12623,905,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,< 1 years,$1-$99,"1,000-1,999",1500.0
12624,715,25-29,Woman,India,Master’s degree,Software Engineer,3-5 years,$1-$99,"7,500-9,999",8500.0
12625,343,25-29,Man,Russia,Bachelor’s degree,Currently not employed,1-3 years,,,
12626,704,35-39,Man,Mexico,Master’s degree,Other,5-10 years,$1-$99,$0-999,500.0
12627,758,18-21,Woman,Morocco,Master’s degree,Data Scientist,1-3 years,,,
12628,256,22-24,Man,United States of America,Master’s degree,Other,< 1 years,,"100,000-124,999",120000.0
12629,539,25-29,Man,Colombia,Doctoral degree,Data Scientist,1-3 years,$0 ($USD),"4,000-4,999",4500.0
12630,416,25-29,Man,Colombia,Master’s degree,Software Engineer,3-5 years,"$1000-$9,999","20,000-24,999",23000.0
12631,1008,25-29,Man,Turkey,Bachelor’s degree,Currently not employed,1-3 years,,,
12632,3296,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
12633,551,22-24,Man,India,Master’s degree,Data Scientist,1-3 years,$0 ($USD),"20,000-24,999",23000.0
12634,662,35-39,Woman,France,Master’s degree,Data Scientist,5-10 years,"$10,000-$99,999","150,000-199,999",175000.0
12635,553,30-34,Man,Germany,Master’s degree,Program/Project Manager,1-3 years,$0 ($USD),"90,000-99,999",95000.0
12636,1725,25-29,Man,India,Bachelor’s degree,Business Analyst,3-5 years,$1-$99,"25,000-29,999",27000.0
12637,719,40-44,Man,United States of America,Master’s degree,Software Engineer,10-20 years,$100-$999,"90,000-99,999",95000.0
12638,594,18-21,Man,India,Master’s degree,Student,1-3 years,,,
12639,566,25-29,Woman,India,Master’s degree,Business Analyst,1-3 years,$0 ($USD),"1,000-1,999",1500.0
12640,1678,30-34,Prefer not to say,Japan,Doctoral degree,Other,10-20 years,"$10,000-$99,999","40,000-49,999",45000.0
12641,693,30-34,Man,Japan,Master’s degree,Machine Learning Engineer,5-10 years,$100-$999,"30,000-39,999",35000.0
12642,549,22-24,Man,Ghana,Bachelor’s degree,Statistician,< 1 years,$100-$999,$0-999,500.0
12643,409,45-49,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,I have never written code,"$10,000-$99,999","80,000-89,999",85000.0
12644,856,25-29,Man,Other,Master’s degree,Data Scientist,3-5 years,"$1000-$9,999",$0-999,500.0
12645,849,45-49,Man,Other,Master’s degree,Data Scientist,20+ years,$0 ($USD),"30,000-39,999",35000.0
12646,486,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,
12647,2315,18-21,Man,India,Bachelor’s degree,Currently not employed,1-3 years,,,
12648,870,60-69,Prefer not to say,United States of America,Master’s degree,Other,5-10 years,"$100,000 or more ($USD)","150,000-199,999",175000.0
12649,348,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,I have never written code,$0 ($USD),$0-999,500.0
12650,351,22-24,Woman,Egypt,Bachelor’s degree,Software Engineer,< 1 years,,,
12651,348,22-24,Man,United States of America,Master’s degree,Student,1-3 years,,,
12652,1596,18-21,Woman,Algeria,Master’s degree,Student,3-5 years,,,
12653,685,25-29,Man,India,Bachelor’s degree,Data Scientist,5-10 years,$100-$999,"20,000-24,999",23000.0
12654,318,18-21,Woman,China,Bachelor’s degree,Student,< 1 years,,,
12655,12579,50-54,Man,Japan,Master’s degree,Product Manager,20+ years,,,
12656,1218,25-29,Man,China,Some college/university study without earning a bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),"5,000-7,499",65000.0
12657,425,25-29,Man,Portugal,Master’s degree,Student,5-10 years,,,
12658,1075,18-21,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Student,3-5 years,,,
12659,253,18-21,Woman,India,Bachelor’s degree,Currently not employed,1-3 years,,,
12660,9158,35-39,Man,United States of America,Master’s degree,Data Scientist,20+ years,"$100,000 or more ($USD)","200,000-249,999",225000.0
12661,877,30-34,Man,Nigeria,Bachelor’s degree,Data Analyst,1-3 years,$100-$999,$0-999,500.0
12662,345,18-21,Man,Philippines,Bachelor’s degree,Student,< 1 years,,,
12663,545,25-29,Man,Japan,No formal education past high school,Software Engineer,1-3 years,$0 ($USD),$0-999,500.0
12664,358,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years,,,
12665,1042,30-34,Man,Other,Master’s degree,Software Engineer,1-3 years,$1-$99,"1,000-1,999",1500.0
12666,629,30-34,Man,Japan,Master’s degree,Program/Project Manager,1-3 years,$1-$99,"60,000-69,999",65000.0
12667,500,18-21,Man,China,Bachelor’s degree,Data Scientist,1-3 years,$100-$999,$0-999,500.0
12668,846,22-24,Man,China,Master’s degree,Data Engineer,< 1 years,$100-$999,"5,000-7,499",65000.0
12669,596,35-39,Man,Ukraine,Master’s degree,Currently not employed,1-3 years,,,
12670,503,25-29,Man,Taiwan,Bachelor’s degree,Machine Learning Engineer,3-5 years,$0 ($USD),"40,000-49,999",45000.0
12671,41293,50-54,Man,Russia,Master’s degree,Research Scientist,20+ years,$0 ($USD),"15,000-19,999",17000.0
12672,902,35-39,Man,Egypt,Bachelor’s degree,Developer Relations/Advocacy,1-3 years,$100-$999,"7,500-9,999",8500.0
12673,839,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,$100-$999,"15,000-19,999",17000.0
12674,609,50-54,Man,India,Doctoral degree,Other,20+ years,$0 ($USD),"30,000-39,999",35000.0
12675,694,25-29,Man,Poland,Master’s degree,Data Analyst,1-3 years,$0 ($USD),"25,000-29,999",27000.0
12676,821,18-21,Man,India,Bachelor’s degree,Currently not employed,1-3 years,,,
12677,1091,25-29,Man,Belarus,Bachelor’s degree,Other,< 1 years,$0 ($USD),"7,500-9,999",8500.0
12678,266,25-29,Man,India,Master’s degree,Student,< 1 years,,,
12679,788,18-21,Woman,India,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,500.0
12680,675,50-54,Man,United States of America,Master’s degree,Data Scientist,5-10 years,"$100,000 or more ($USD)","90,000-99,999",95000.0
12681,384,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,,
12682,220,18-21,Man,Other,Bachelor’s degree,Software Engineer,1-3 years,,,
12683,424,25-29,Man,Bangladesh,Bachelor’s degree,Research Scientist,3-5 years,$0 ($USD),$0-999,500.0
12684,414,25-29,Man,India,I prefer not to answer,Currently not employed,< 1 years,,,
12685,5275,50-54,Man,Italy,Master’s degree,Other,10-20 years,$0 ($USD),"30,000-39,999",35000.0
12686,1331,25-29,Woman,India,Master’s degree,Data Scientist,1-3 years,$1-$99,"5,000-7,499",65000.0
12687,708,30-34,Woman,India,Doctoral degree,Research Scientist,< 1 years,$0 ($USD),"7,500-9,999",8500.0
12688,200,35-39,Man,United States of America,Master’s degree,Other,10-20 years,,,
12689,598,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Student,3-5 years,,,
12690,3038,40-44,Man,Russia,I prefer not to answer,Research Scientist,10-20 years,$1-$99,"3,000-3,999",3500.0
12691,280,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
12692,614,18-21,Man,"Iran, Islamic Republic of...",Bachelor’s degree,Software Engineer,3-5 years,,,
12693,737,18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0
12694,544,18-21,Man,Thailand,Bachelor’s degree,Machine Learning Engineer,1-3 years,$100-$999,$0-999,500.0
12695,392,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),"1,000-1,999",1500.0
12696,885,22-24,Man,China,Master’s degree,Student,1-3 years,,,
12697,244,18-21,Man,Russia,Bachelor’s degree,Student,3-5 years,,,
12698,1040,25-29,Man,Other,Bachelor’s degree,Program/Project Manager,< 1 years,$100-$999,"4,000-4,999",4500.0
12699,1100,25-29,Man,Russia,Master’s degree,Data Scientist,10-20 years,"$100,000 or more ($USD)","10,000-14,999",12000.0
12700,572,18-21,Prefer not to say,Other,Master’s degree,Student,1-3 years,,,
12701,625,30-34,Man,Germany,Bachelor’s degree,Currently not employed,10-20 years,,,
12702,1810,40-44,Man,United States of America,Doctoral degree,Software Engineer,3-5 years,"$100,000 or more ($USD)","300,000-499,999",500000.0
12703,535,22-24,Woman,Sri Lanka,Bachelor’s degree,Student,3-5 years,,,
12704,486,40-44,Woman,Japan,Bachelor’s degree,Currently not employed,< 1 years,,,
12705,842,18-21,Man,Sri Lanka,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0 ($USD),$0-999,500.0
12706,667,45-49,Man,Russia,Doctoral degree,Software Engineer,1-3 years,$0 ($USD),"30,000-39,999",35000.0
12707,832,50-54,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other,< 1 years,$0 ($USD),"70,000-79,999",75000.0
12708,1978,45-49,Woman,Spain,Master’s degree,Currently not employed,1-3 years,,,
12709,18774,22-24,Man,Thailand,Bachelor’s degree,Other,1-3 years,$0 ($USD),"5,000-7,499",65000.0
12710,855,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed,1-3 years,,,
12711,2385,55-59,Man,Taiwan,Master’s degree,Software Engineer,20+ years,"$1000-$9,999","25,000-29,999",27000.0
12712,696,30-34,Man,Brazil,Master’s degree,Data Scientist,10-20 years,"$100,000 or more ($USD)","30,000-39,999",35000.0
12713,1120,25-29,Woman,China,Master’s degree,Software Engineer,3-5 years,"$100,000 or more ($USD)","10,000-14,999",12000.0
12714,128,40-44,Man,Italy,I prefer not to answer,Other,5-10 years,,,
12715,605,45-49,Man,Tunisia,Master’s degree,Software Engineer,20+ years,,,
12716,372,25-29,Man,Singapore,Bachelor’s degree,Other,1-3 years,$0 ($USD),"40,000-49,999",45000.0
12717,3583,40-44,Man,Japan,Bachelor’s degree,DBA/Database Engineer,< 1 years,$0 ($USD),"50,000-59,999",55000.0
12718,47072,22-24,Man,South Korea,Bachelor’s degree,Student,5-10 years,,,
12719,479,18-21,Man,India,I prefer not to answer,Machine Learning Engineer,1-3 years,,,
12720,389,18-21,Woman,Japan,Bachelor’s degree,Student,< 1 years,,,
12721,629,35-39,Man,Israel,Bachelor’s degree,Other,3-5 years,"$100,000 or more ($USD)",">$1,000,000",1000000.0
12722,325,18-21,Woman,India,Master’s degree,Student,3-5 years,,,
12723,1560,50-54,Man,India,Bachelor’s degree,Program/Project Manager,20+ years,$100-$999,"15,000-19,999",17000.0
12724,328,30-34,Woman,Morocco,Master’s degree,Other,I have never written code,"$100,000 or more ($USD)","25,000-29,999",27000.0
12725,675,70+,Man,United States of America,Master’s degree,Other,5-10 years,$0 ($USD),"125,000-149,999",132000.0
12726,281,22-24,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Student,3-5 years,,,
12727,464,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
12728,1223,22-24,Woman,India,Bachelor’s degree,Other,< 1 years,$0 ($USD),"10,000-14,999",12000.0
12729,253,25-29,Man,Brazil,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,,,
12730,1310,22-24,Man,India,Bachelor’s degree,Currently not employed,10-20 years,,,
12731,286,25-29,Man,Other,Master’s degree,Student,1-3 years,,,
12732,936,40-44,Man,South Korea,Bachelor’s degree,Software Engineer,10-20 years,$1-$99,"100,000-124,999",120000.0
12733,835,30-34,Man,India,Master’s degree,Machine Learning Engineer,3-5 years,"$1000-$9,999","5,000-7,499",65000.0
12734,1524,22-24,Man,Nigeria,Bachelor’s degree,Student,< 1 years,,,
12735,764,30-34,Man,Malaysia,Master’s degree,Software Engineer,5-10 years,,,
12736,522,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999,500.0
12737,60409,45-49,Man,United States of America,Bachelor’s degree,Data Engineer,20+ years,,,
12738,458,18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,
12739,200,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,,
12740,1118,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,$100-$999,"7,500-9,999",8500.0
12741,482,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
12742,494,35-39,Man,Ireland,Master’s degree,DBA/Database Engineer,5-10 years,"$10,000-$99,999","100,000-124,999",120000.0
12743,609,25-29,Man,China,Some college/university study without earning a bachelor’s degree,Other,I have never written code,$0 ($USD),"10,000-14,999",12000.0
12744,351,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,,,
12745,957,22-24,Man,Morocco,Master’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999,500.0
12746,528,22-24,Man,India,Master’s degree,Student,1-3 years,,,
12747,1272,35-39,Man,Egypt,Bachelor’s degree,Data Analyst,I have never written code,$0 ($USD),"25,000-29,999",27000.0
12748,260,25-29,Man,India,Bachelor’s degree,Data Analyst,< 1 years,,,
12749,548,35-39,Man,Australia,Doctoral degree,Research Scientist,20+ years,$1-$99,"100,000-124,999",120000.0
12750,559,25-29,Man,Turkey,Bachelor’s degree,Currently not employed,1-3 years,,,
12751,133,25-29,Man,Chile,Master’s degree,Research Scientist,1-3 years,,,
12752,474,30-34,Man,Israel,No formal education past high school,Data Analyst,5-10 years,$0 ($USD),"70,000-79,999",75000.0
12753,641,35-39,Man,United States of America,Master’s degree,Other,1-3 years,$0 ($USD),"60,000-69,999",65000.0
12754,4512,25-29,Woman,United States of America,Master’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,500.0
12755,387,22-24,Man,Malaysia,Some college/university study without earning a bachelor’s degree,Other,1-3 years,,,
12756,1201,50-54,Man,Belgium,Master’s degree,Other,10-20 years,,,
12757,204,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,,
12758,490,40-44,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years,"$1000-$9,999","30,000-39,999",35000.0
12759,657,35-39,Man,Australia,Bachelor’s degree,Program/Project Manager,1-3 years,$0 ($USD),"150,000-199,999",175000.0
12760,984,25-29,Man,India,Master’s degree,Data Scientist,5-10 years,$1-$99,"4,000-4,999",4500.0
12761,1977,40-44,Man,Indonesia,Master’s degree,Data Scientist,5-10 years,$100-$999,"3,000-3,999",3500.0
12762,1696,30-34,Prefer not to say,Czech Republic,Master’s degree,Machine Learning Engineer,20+ years,"$10,000-$99,999","100,000-124,999",120000.0
12763,1207,40-44,Woman,Other,I prefer not to answer,Statistician,10-20 years,$100-$999,"1,000-1,999",1500.0
12764,723,22-24,Man,Egypt,Master’s degree,Student,3-5 years,,,
12765,1443,30-34,Man,India,Doctoral degree,DBA/Database Engineer,10-20 years,"$1000-$9,999","20,000-24,999",23000.0
12766,1075,22-24,Man,Pakistan,Bachelor’s degree,Student,1-3 years,,,
12767,767,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,,
12768,657,25-29,Man,Russia,Master’s degree,Machine Learning Engineer,10-20 years,"$1000-$9,999","80,000-89,999",85000.0
12769,322,18-21,Woman,Turkey,Bachelor’s degree,Student,1-3 years,,,
12770,932,25-29,Man,Bangladesh,Bachelor’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),"7,500-9,999",8500.0
12771,673,18-21,Man,India,Master’s degree,Data Scientist,1-3 years,,,
12772,1085,18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,
12773,1149,22-24,Prefer to self-describe,United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,,
12774,214,45-49,Man,India,I prefer not to answer,Other,5-10 years,,,
12775,832,55-59,Woman,Brazil,Doctoral degree,Statistician,20+ years,$0 ($USD),"3,000-3,999",3500.0
12776,457,22-24,Man,I do not wish to disclose my location,Bachelor’s degree,Currently not employed,< 1 years,,,
12777,448,18-21,Woman,India,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999,500.0
12778,652,40-44,Man,Germany,Master’s degree,Data Scientist,1-3 years,$100-$999,"80,000-89,999",85000.0
12779,1693,22-24,Man,Ghana,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),"4,000-4,999",4500.0
12780,422,18-21,Man,Egypt,I prefer not to answer,Student,< 1 years,,,
12781,383,25-29,Man,India,Master’s degree,Software Engineer,< 1 years,$0 ($USD),"4,000-4,999",4500.0
12782,714,50-54,Man,United States of America,Bachelor’s degree,Other,20+ years,"$100,000 or more ($USD)","200,000-249,999",225000.0
12783,128,22-24,Woman,India,Master’s degree,Student,1-3 years,,,
12784,526,30-34,Man,Japan,Doctoral degree,Data Scientist,5-10 years,$100-$999,"5,000-7,499",65000.0
12785,246,35-39,Woman,United States of America,Bachelor’s degree,Data Analyst,20+ years,,,
12786,264,18-21,Man,United States of America,Bachelor’s degree,Student,1-3 years,,,
12787,3322,40-44,Woman,United States of America,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","90,000-99,999",95000.0
12788,634,22-24,Woman,India,Master’s degree,Student,< 1 years,,,
12789,877,35-39,Man,Sweden,Master’s degree,Data Scientist,10-20 years,"$1000-$9,999","60,000-69,999",65000.0
12790,455206,25-29,Man,Colombia,Bachelor’s degree,Data Scientist,1-3 years,$1-$99,"2,000-2,999",25000.0
12791,2989,45-49,Man,Netherlands,Doctoral degree,Data Scientist,20+ years,"$10,000-$99,999","80,000-89,999",85000.0
12792,27431,25-29,Man,Bangladesh,Bachelor’s degree,Software Engineer,1-3 years,$100-$999,$0-999,500.0
12793,558,30-34,Man,China,I prefer not to answer,Machine Learning Engineer,5-10 years,"$1000-$9,999","3,000-3,999",3500.0
12794,358,18-21,Man,Ghana,Bachelor’s degree,Student,I have never written code,,,
12795,715,35-39,Man,Egypt,Doctoral degree,Data Analyst,1-3 years,$0 ($USD),"5,000-7,499",65000.0
12796,806,25-29,Man,United States of America,Bachelor’s degree,Other,< 1 years,$0 ($USD),"10,000-14,999",12000.0
12797,541,30-34,Woman,Canada,Bachelor’s degree,Data Engineer,5-10 years,$100-$999,"70,000-79,999",75000.0
12798,954,25-29,Man,Italy,Doctoral degree,Data Scientist,10-20 years,"$10,000-$99,999","30,000-39,999",35000.0
12799,2376,25-29,Man,India,Master’s degree,Data Scientist,10-20 years,$100-$999,"7,500-9,999",8500.0
12800,485,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,,
12801,140,35-39,Man,Brazil,Doctoral degree,Student,1-3 years,,,
12802,1177,18-21,Man,Nigeria,Bachelor’s degree,Student,1-3 years,,,
12803,717,22-24,Man,"Iran, Islamic Republic of...",Professional doctorate,Research Scientist,< 1 years,$0 ($USD),$0-999,500.0
12804,617,35-39,Man,Russia,Master’s degree,Data Analyst,1-3 years,$1-$99,"50,000-59,999",55000.0
12805,2074,45-49,Prefer not to say,Japan,Master’s degree,Business Analyst,20+ years,"$1000-$9,999","50,000-59,999",55000.0
12806,180,35-39,Man,Brazil,Bachelor’s degree,Data Analyst,< 1 years,,,
