Response Time,Age,Gender,Country,Education,Job Title,Experience,Investment,Compensation
1748,22-24,Woman,India,Bachelor’s degree,Data Analyst,1-3 years,"$10,000-$99,999","1,000-1,999"
174,18-21,Man,China,Bachelor’s degree,Student,1-3 years,,
512,30-34,Woman,United States of America,Bachelor’s degree,Currently not employed,< 1 years,,
607,30-34,Woman,Other,Bachelor’s degree,Business Analyst,< 1 years,$1-$99,$0-999
149,22-24,Man,Austria,Master’s degree,Student,< 1 years,,
334,60-69,Man,United Kingdom of Great Britain and Northern Ireland,Professional doctorate,Currently not employed,5-10 years,,
936,18-21,Woman,India,Master’s degree,Software Engineer,1-3 years,$1-$99,$0-999
47872,22-24,Woman,Morocco,Master’s degree,Student,3-5 years,,
546,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,
608,25-29,Man,India,Bachelor’s degree,Student,3-5 years,,
692,25-29,Man,Bangladesh,Bachelor’s degree,Program/Project Manager,3-5 years,$1-$99,$0-999
776,30-34,Man,China,Doctoral degree,Research Scientist,10-20 years,"$1000-$9,999","90,000-99,999"
580,22-24,Man,Sweden,Bachelor’s degree,Student,3-5 years,,
213551,45-49,Man,Colombia,Bachelor’s degree,Currently not employed,20+ years,,
455,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
398,25-29,Man,Russia,I prefer not to answer,Data Scientist,3-5 years,$0 ($USD),"5,000-7,499"
772,25-29,Man,India,Bachelor’s degree,Other,< 1 years,$1-$99,"5,000-7,499"
542,25-29,Man,India,Master’s degree,Data Analyst,< 1 years,$0 ($USD),"5,000-7,499"
547,35-39,Woman,Canada,Bachelor’s degree,Currently not employed,1-3 years,,
19527,30-34,Man,Egypt,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999
1798,22-24,Man,Tunisia,Master’s degree,Software Engineer,1-3 years,$0 ($USD),$0-999
701,18-21,Man,India,Master’s degree,Student,3-5 years,,
191,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,
326,18-21,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,3-5 years,,
985,22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,$0 ($USD),$0-999
602,22-24,Man,India,Bachelor’s degree,Business Analyst,< 1 years,"$1000-$9,999","7,500-9,999"
1037,30-34,Man,India,Master’s degree,Machine Learning Engineer,3-5 years,$100-$999,$0-999
732,40-44,Man,Nigeria,Doctoral degree,Research Scientist,< 1 years,$0 ($USD),"80,000-89,999"
559,22-24,Man,United States of America,Master’s degree,Data Analyst,3-5 years,"$1000-$9,999","70,000-79,999"
1860,35-39,Woman,South Africa,Master’s degree,Data Engineer,10-20 years,$1-$99,"30,000-39,999"
874,45-49,Man,Russia,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,,
152,18-21,Man,Hong Kong (S.A.R.),Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
939,22-24,Man,Japan,Master’s degree,Student,3-5 years,,
1376,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,10-20 years,"$1000-$9,999","30,000-39,999"
709,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,
1341,30-34,Man,India,Doctoral degree,Currently not employed,5-10 years,,
467,35-39,Man,Switzerland,Some college/university study without earning a bachelor’s degree,Product Manager,5-10 years,"$1000-$9,999","100,000-124,999"
361,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,3-5 years,,
221,30-34,Man,Russia,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years,,
894,60-69,Man,United States of America,Master’s degree,Program/Project Manager,20+ years,"$10,000-$99,999","200,000-249,999"
431,50-54,Woman,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Data Analyst,20+ years,$0 ($USD),"50,000-59,999"
597,30-34,Man,Taiwan,Bachelor’s degree,Product Manager,3-5 years,$0 ($USD),"25,000-29,999"
13419,45-49,Woman,Canada,Master’s degree,Data Analyst,1-3 years,"$1000-$9,999","4,000-4,999"
748,25-29,Woman,India,Master’s degree,Machine Learning Engineer,1-3 years,"$1000-$9,999","10,000-14,999"
822,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
783,30-34,Man,Greece,Master’s degree,Currently not employed,1-3 years,,
1403,30-34,Man,India,Master’s degree,Business Analyst,10-20 years,$0 ($USD),"150,000-199,999"
3703,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,5-10 years,$100-$999,"60,000-69,999"
426,45-49,Man,India,Master’s degree,Other,5-10 years,,
1324,60-69,Man,United States of America,Doctoral degree,Data Scientist,10-20 years,$100-$999,"80,000-89,999"
718,22-24,Man,Canada,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years,"$1000-$9,999",$0-999
527125,25-29,Man,Czech Republic,Master’s degree,Software Engineer,10-20 years,"$10,000-$99,999","150,000-199,999"
864,40-44,Man,Egypt,Bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999
1227,25-29,Man,India,Professional doctorate,Data Scientist,1-3 years,$100-$999,$0-999
594,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
3564,45-49,Man,Spain,Bachelor’s degree,Data Engineer,3-5 years,"$1000-$9,999","70,000-79,999"
674,50-54,Man,United States of America,No formal education past high school,Data Analyst,3-5 years,$0 ($USD),"90,000-99,999"
330,18-21,Man,"Iran, Islamic Republic of...",Bachelor’s degree,Machine Learning Engineer,< 1 years,,
2623,60-69,Man,United Arab Emirates,Doctoral degree,Data Scientist,20+ years,"$10,000-$99,999","150,000-199,999"
446,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,
786,22-24,Man,Russia,Master’s degree,Machine Learning Engineer,< 1 years,$0 ($USD),$0-999
554,35-39,Man,India,Master’s degree,Software Engineer,20+ years,"$1000-$9,999","50,000-59,999"
493,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
432,30-34,Man,India,Master’s degree,Software Engineer,5-10 years,,
1586,35-39,Man,Nigeria,Master’s degree,Machine Learning Engineer,1-3 years,$0 ($USD),$0-999
1068,70+,Man,Other,No formal education past high school,Machine Learning Engineer,20+ years,$0 ($USD),$0-999
280,35-39,Man,Japan,Bachelor’s degree,Software Engineer,10-20 years,,
435,55-59,Man,Czech Republic,Master’s degree,Other,1-3 years,,
675,30-34,Woman,Russia,Master’s degree,Currently not employed,1-3 years,,
221,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
664,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
258,25-29,Man,India,Master’s degree,Other,1-3 years,,
738,40-44,Man,Japan,Bachelor’s degree,Software Engineer,10-20 years,$100-$999,"60,000-69,999"
1284,50-54,Man,Russia,Master’s degree,Program/Project Manager,1-3 years,"$1000-$9,999","40,000-49,999"
1732,18-21,Woman,India,Bachelor’s degree,Student,1-3 years,,
371,25-29,Man,Brazil,Master’s degree,Data Scientist,1-3 years,$1-$99,"2,000-2,999"
731,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years,$1-$99,"1,000-1,999"
805,22-24,Man,India,Bachelor’s degree,Student,1-3 years,,
430,25-29,Woman,India,Master’s degree,Machine Learning Engineer,3-5 years,,
636,30-34,Man,United States of America,Master’s degree,Software Engineer,1-3 years,$0 ($USD),"70,000-79,999"
609,35-39,Man,Spain,Doctoral degree,Machine Learning Engineer,20+ years,"$100,000 or more ($USD)","90,000-99,999"
9779,25-29,Man,Germany,Master’s degree,Data Analyst,1-3 years,$0 ($USD),$0-999
379,22-24,Woman,Taiwan,Master’s degree,Student,5-10 years,,
1633,35-39,Man,Netherlands,Doctoral degree,Machine Learning Engineer,10-20 years,"$100,000 or more ($USD)","100,000-124,999"
1300,22-24,Man,Pakistan,Master’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999
818,30-34,Woman,China,Doctoral degree,Data Scientist,3-5 years,"$1000-$9,999","5,000-7,499"
617,35-39,Man,India,Master’s degree,Data Analyst,3-5 years,$0 ($USD),"10,000-14,999"
341,22-24,Man,United States of America,Master’s degree,Business Analyst,5-10 years,"$10,000-$99,999","80,000-89,999"
1248,25-29,Man,Pakistan,Master’s degree,Machine Learning Engineer,1-3 years,"$1000-$9,999","2,000-2,999"
926,22-24,Man,India,Master’s degree,Data Scientist,< 1 years,$100-$999,$0-999
893,35-39,Prefer not to say,I do not wish to disclose my location,I prefer not to answer,Software Engineer,10-20 years,$0 ($USD),"90,000-99,999"
346,18-21,Man,Malaysia,Bachelor’s degree,Student,< 1 years,,
342,22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,$100-$999,$0-999
710,25-29,Man,United States of America,Bachelor’s degree,Business Analyst,< 1 years,$0 ($USD),$0-999
260,22-24,Man,Greece,Bachelor’s degree,Student,< 1 years,,
393,18-21,Man,Israel,Bachelor’s degree,Student,3-5 years,,
395,22-24,Man,India,Bachelor’s degree,Student,1-3 years,,
586,22-24,Man,Russia,Bachelor’s degree,Data Scientist,3-5 years,,
1347,25-29,Woman,Saudi Arabia,Doctoral degree,Data Analyst,5-10 years,$0 ($USD),"3,000-3,999"
611,60-69,Man,Spain,Master’s degree,Student,20+ years,,
460,40-44,Man,Japan,Doctoral degree,Research Scientist,5-10 years,$0 ($USD),"100,000-124,999"
585,22-24,Man,India,Master’s degree,Machine Learning Engineer,< 1 years,$1-$99,"1,000-1,999"
881,30-34,Man,Tunisia,Doctoral degree,Data Analyst,3-5 years,$0 ($USD),"2,000-2,999"
552,25-29,Man,India,Master’s degree,Machine Learning Engineer,3-5 years,"$1000-$9,999","7,500-9,999"
1042,30-34,Man,India,Master’s degree,Currently not employed,< 1 years,,
266,25-29,Man,India,Master’s degree,Software Engineer,5-10 years,,
86473,50-54,Man,Japan,Doctoral degree,Research Scientist,20+ years,,"90,000-99,999"
460,25-29,Woman,Japan,Doctoral degree,Student,3-5 years,,
510,25-29,Man,China,Bachelor’s degree,Data Analyst,1-3 years,"$1000-$9,999","20,000-24,999"
468,35-39,Man,Nepal,Some college/university study without earning a bachelor’s degree,Currently not employed,1-3 years,,
211,40-44,Woman,United States of America,Master’s degree,Data Analyst,I have never written code,$0 ($USD),"30,000-39,999"
589,30-34,Man,Singapore,Bachelor’s degree,Business Analyst,10-20 years,$0 ($USD),"50,000-59,999"
388,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
401,25-29,Man,Japan,Doctoral degree,Currently not employed,1-3 years,,
321,18-21,Man,Other,Bachelor’s degree,Currently not employed,1-3 years,,
716,55-59,Man,Mexico,Doctoral degree,Data Engineer,10-20 years,$0 ($USD),"20,000-24,999"
628,25-29,Man,India,Master’s degree,Data Scientist,1-3 years,$0 ($USD),"15,000-19,999"
571,30-34,Man,Germany,Doctoral degree,Research Scientist,10-20 years,$1-$99,"70,000-79,999"
1194,55-59,Woman,Argentina,Master’s degree,Other,< 1 years,$100-$999,"80,000-89,999"
206,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
2755,30-34,Man,India,Doctoral degree,Other,1-3 years,$0 ($USD),"30,000-39,999"
452,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
486,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
560,25-29,Man,France,Master’s degree,Machine Learning Engineer,5-10 years,"$1000-$9,999","40,000-49,999"
8353,45-49,Man,United States of America,Bachelor’s degree,Other,20+ years,$0 ($USD),"70,000-79,999"
638,45-49,Man,Other,Doctoral degree,Business Analyst,5-10 years,$0 ($USD),"50,000-59,999"
211,22-24,Man,India,Master’s degree,Student,< 1 years,,
477,22-24,Woman,Czech Republic,Master’s degree,Machine Learning Engineer,1-3 years,"$10,000-$99,999","20,000-24,999"
315895,40-44,Man,Other,Master’s degree,Machine Learning Engineer,10-20 years,"$1000-$9,999","40,000-49,999"
480,25-29,Woman,United States of America,Master’s degree,Data Analyst,I have never written code,"$10,000-$99,999","5,000-7,499"
590,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,"$10,000-$99,999","25,000-29,999"
321,60-69,Woman,United States of America,Bachelor’s degree,Data Analyst,5-10 years,,
677,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years,"$1000-$9,999","5,000-7,499"
457,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),$0-999
1232,35-39,Woman,United States of America,Master’s degree,Data Scientist,10-20 years,"$1000-$9,999","125,000-149,999"
300,25-29,Man,Russia,Master’s degree,Program/Project Manager,3-5 years,$0 ($USD),"10,000-14,999"
492,30-34,Man,Other,Doctoral degree,Software Engineer,1-3 years,,
954,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
732,35-39,Woman,France,Doctoral degree,Data Scientist,10-20 years,"$1000-$9,999","80,000-89,999"
946,40-44,Man,Argentina,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,$0 ($USD),$0-999
333,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
484,18-21,Woman,India,Master’s degree,Student,< 1 years,,
1629,25-29,Man,Bangladesh,Master’s degree,Research Scientist,< 1 years,$0 ($USD),$0-999
445,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
58666,35-39,Man,Canada,Doctoral degree,Data Scientist,10-20 years,"$10,000-$99,999","70,000-79,999"
269,40-44,Woman,South Korea,Bachelor’s degree,Other,I have never written code,$0 ($USD),">$1,000,000"
537,60-69,Man,United States of America,Bachelor’s degree,Other,1-3 years,$100-$999,"125,000-149,999"
278,18-21,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,
385,22-24,Man,Pakistan,Bachelor’s degree,Student,1-3 years,,
549,25-29,Man,Nigeria,Bachelor’s degree,Machine Learning Engineer,I have never written code,$1-$99,$0-999
1734,40-44,Man,Netherlands,Bachelor’s degree,Other,3-5 years,$0 ($USD),"40,000-49,999"
1096,35-39,Woman,Other,Master’s degree,Software Engineer,10-20 years,"$1000-$9,999","5,000-7,499"
301,25-29,Man,Japan,Master’s degree,Program/Project Manager,< 1 years,,
944,50-54,Man,Spain,No formal education past high school,Business Analyst,< 1 years,$100-$999,"2,000-2,999"
248,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
1029,25-29,Woman,France,Master’s degree,Student,< 1 years,,
625,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Statistician,20+ years,"$100,000 or more ($USD)","80,000-89,999"
428,25-29,Man,Pakistan,Bachelor’s degree,Currently not employed,I have never written code,,
532,50-54,Woman,United States of America,Bachelor’s degree,Program/Project Manager,I have never written code,"$10,000-$99,999","100,000-124,999"
361,22-24,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,< 1 years,$1-$99,$0-999
705,30-34,Man,Brazil,Doctoral degree,Other,10-20 years,$100-$999,$0-999
592,25-29,Woman,India,Bachelor’s degree,Other,< 1 years,$0 ($USD),"5,000-7,499"
535,30-34,Man,Poland,Master’s degree,Data Scientist,3-5 years,$100-$999,"25,000-29,999"
729,22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Machine Learning Engineer,10-20 years,,
1061,25-29,Man,Nigeria,Master’s degree,Data Analyst,1-3 years,$0 ($USD),$0-999
715,25-29,Woman,India,Doctoral degree,Student,1-3 years,,
491572,60-69,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Research Scientist,20+ years,,
730,35-39,Man,India,Master’s degree,Currently not employed,1-3 years,,
715,22-24,Man,South Korea,Some college/university study without earning a bachelor’s degree,Software Engineer,1-3 years,,
641,18-21,Man,Other,Bachelor’s degree,Student,1-3 years,,
920,35-39,Woman,India,Master’s degree,Research Scientist,1-3 years,$0 ($USD),$0-999
419,30-34,Man,United States of America,Bachelor’s degree,Data Analyst,I have never written code,"$10,000-$99,999","70,000-79,999"
611,22-24,Man,India,Bachelor’s degree,Data Engineer,1-3 years,$100-$999,"10,000-14,999"
370,22-24,Man,Belgium,Master’s degree,Student,1-3 years,,
396,18-21,Man,Egypt,Bachelor’s degree,Student,1-3 years,,
605,55-59,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years,"$10,000-$99,999","250,000-299,999"
308,30-34,Man,South Africa,Bachelor’s degree,Other,I have never written code,$0 ($USD),"3,000-3,999"
1218,25-29,Man,India,Master’s degree,Program/Project Manager,I have never written code,$1-$99,"4,000-4,999"
1380,25-29,Woman,Other,Doctoral degree,Research Scientist,1-3 years,$1-$99,$0-999
768,35-39,Man,Ecuador,Master’s degree,Software Engineer,10-20 years,"$1000-$9,999","30,000-39,999"
468,50-54,Man,United States of America,Master’s degree,Currently not employed,20+ years,,
892,30-34,Man,Pakistan,Master’s degree,Software Engineer,1-3 years,$1-$99,$0-999
590,30-34,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
491407,30-34,Man,Australia,Bachelor’s degree,Other,I have never written code,"$1000-$9,999","40,000-49,999"
784,25-29,Man,Japan,I prefer not to answer,Data Scientist,3-5 years,$0 ($USD),$0-999
286,22-24,Man,China,Master’s degree,Student,1-3 years,,
547,25-29,Man,Canada,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,$100-$999,"60,000-69,999"
798,35-39,Man,Singapore,Doctoral degree,Research Scientist,3-5 years,$1-$99,"70,000-79,999"
350,35-39,Woman,Colombia,Master’s degree,Data Analyst,5-10 years,,"1,000-1,999"
325,30-34,Man,United States of America,Master’s degree,Other,3-5 years,$0 ($USD),"60,000-69,999"
7547,18-21,Woman,Algeria,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,
1354,25-29,Man,Pakistan,No formal education past high school,Data Scientist,3-5 years,"$10,000-$99,999",$0-999
453,30-34,Woman,Germany,Master’s degree,Research Scientist,5-10 years,$1-$99,"50,000-59,999"
606,30-34,Man,Kenya,Bachelor’s degree,Data Analyst,I have never written code,"$1000-$9,999",$0-999
3672,30-34,Man,Other,Bachelor’s degree,Student,1-3 years,,
721,18-21,Man,Nigeria,Bachelor’s degree,Student,1-3 years,,
653,35-39,Woman,United States of America,Master’s degree,Data Analyst,< 1 years,$100-$999,"80,000-89,999"
691,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,20+ years,$0 ($USD),"300,000-499,999"
1539,55-59,Woman,France,Master’s degree,Business Analyst,3-5 years,$0 ($USD),"60,000-69,999"
1378,40-44,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999
1601,60-69,Man,United States of America,Bachelor’s degree,Other,5-10 years,$0 ($USD),"40,000-49,999"
483,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,"$100,000 or more ($USD)","25,000-29,999"
254,18-21,Man,Germany,Bachelor’s degree,Student,1-3 years,,
1470,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
505,35-39,Man,Russia,No formal education past high school,Program/Project Manager,< 1 years,$0 ($USD),$0-999
554,18-21,Man,Canada,Bachelor’s degree,Student,1-3 years,,
253,25-29,Man,India,Doctoral degree,Business Analyst,< 1 years,,
812,60-69,Woman,Russia,Some college/university study without earning a bachelor’s degree,Data Scientist,20+ years,$0 ($USD),$0-999
665,25-29,Man,Pakistan,Master’s degree,Currently not employed,< 1 years,,
966,25-29,Man,India,Bachelor’s degree,Data Analyst,1-3 years,$0 ($USD),"5,000-7,499"
157,18-21,Man,Philippines,Some college/university study without earning a bachelor’s degree,Student,I have never written code,,
755,40-44,Man,Italy,Doctoral degree,Data Scientist,20+ years,"$10,000-$99,999","50,000-59,999"
2424,22-24,Man,Tunisia,Master’s degree,Student,1-3 years,,
1005,25-29,Man,India,Bachelor’s degree,Research Scientist,5-10 years,"$100,000 or more ($USD)","15,000-19,999"
682,25-29,Man,India,Bachelor’s degree,Other,< 1 years,$0 ($USD),$0-999
669,35-39,Man,United Arab Emirates,Bachelor’s degree,DBA/Database Engineer,1-3 years,$0 ($USD),"90,000-99,999"
686,25-29,Man,Morocco,Master’s degree,Software Engineer,3-5 years,$0 ($USD),"5,000-7,499"
448,18-21,Man,India,Bachelor’s degree,Student,3-5 years,,
2123,22-24,Prefer not to say,India,Bachelor’s degree,Research Scientist,1-3 years,$0 ($USD),"1,000-1,999"
418,22-24,Man,Poland,Master’s degree,Student,< 1 years,,
700,30-34,Man,Russia,Doctoral degree,Student,10-20 years,,
729,30-34,Man,Australia,Doctoral degree,Data Scientist,5-10 years,"$10,000-$99,999","90,000-99,999"
767,22-24,Man,France,Master’s degree,Data Scientist,3-5 years,$1-$99,"40,000-49,999"
670260,25-29,Man,India,Master’s degree,Data Analyst,< 1 years,,
1037,45-49,Man,Japan,I prefer not to answer,Currently not employed,20+ years,,
317,25-29,Man,South Korea,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999
432,35-39,Man,France,Master’s degree,Software Engineer,10-20 years,"$1000-$9,999","125,000-149,999"
714,30-34,Man,India,Doctoral degree,Research Scientist,5-10 years,"$1000-$9,999","90,000-99,999"
491,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years,$100-$999,"10,000-14,999"
686,45-49,Man,United States of America,Doctoral degree,Currently not employed,5-10 years,,
224,22-24,Man,Russia,Bachelor’s degree,Data Scientist,3-5 years,,
221,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
674,25-29,Man,Italy,Doctoral degree,Machine Learning Engineer,3-5 years,"$10,000-$99,999","1,000-1,999"
329,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
534,18-21,Woman,India,Bachelor’s degree,Student,3-5 years,,
899,40-44,Woman,United States of America,Master’s degree,Data Scientist,3-5 years,$100-$999,"40,000-49,999"
1040,55-59,Man,Poland,Professional doctorate,Research Scientist,20+ years,$0 ($USD),"25,000-29,999"
713,25-29,Man,Thailand,Master’s degree,Research Scientist,< 1 years,$0 ($USD),"7,500-9,999"
285,25-29,Man,Peru,Some college/university study without earning a bachelor’s degree,Student,1-3 years,,
273,25-29,Man,Australia,Master’s degree,Data Scientist,5-10 years,,
790,35-39,Man,United States of America,Bachelor’s degree,Data Scientist,5-10 years,"$1000-$9,999","100,000-124,999"
3548,22-24,Man,Canada,Bachelor’s degree,Software Engineer,1-3 years,$0 ($USD),"50,000-59,999"
429,25-29,Man,Turkey,Master’s degree,Data Scientist,3-5 years,$100-$999,"1,000-1,999"
481,35-39,Man,Australia,Master’s degree,Statistician,20+ years,"$10,000-$99,999","100,000-124,999"
256,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
760,30-34,Woman,Germany,Master’s degree,Other,10-20 years,$0 ($USD),"50,000-59,999"
499380,30-34,Man,United States of America,Doctoral degree,Data Analyst,3-5 years,,
704,55-59,Man,Japan,Bachelor’s degree,Currently not employed,20+ years,,
619,35-39,Man,Indonesia,Master’s degree,Other,5-10 years,$1-$99,$0-999
2802,18-21,Man,India,Bachelor’s degree,Data Analyst,< 1 years,"$1000-$9,999","5,000-7,499"
1580,22-24,Woman,Indonesia,Bachelor’s degree,Data Scientist,1-3 years,$0 ($USD),$0-999
474,22-24,Man,India,Bachelor’s degree,Business Analyst,< 1 years,$1-$99,$0-999
939,25-29,Man,United States of America,Master’s degree,Data Analyst,1-3 years,$0 ($USD),$0-999
119204,35-39,Man,United States of America,Master’s degree,Data Scientist,1-3 years,$100-$999,"100,000-124,999"
233,22-24,Man,Brazil,Master’s degree,Student,3-5 years,,
1135,22-24,Man,India,Bachelor’s degree,Student,< 1 years,,
1177,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,$1-$99,"2,000-2,999"
471,30-34,Man,Germany,Master’s degree,Data Scientist,1-3 years,$100-$999,"70,000-79,999"
22100,30-34,Man,Kenya,Master’s degree,DBA/Database Engineer,1-3 years,$0 ($USD),$0-999
1386,30-34,Man,Canada,Master’s degree,Other,5-10 years,"$100,000 or more ($USD)","100,000-124,999"
173,18-21,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
433,18-21,Man,Pakistan,Bachelor’s degree,Student,1-3 years,,
440,22-24,Man,Russia,Bachelor’s degree,Student,1-3 years,,
532,45-49,Man,United States of America,Master’s degree,Product Manager,5-10 years,$100-$999,"300,000-499,999"
622,22-24,Man,Kazakhstan,Bachelor’s degree,Data Scientist,< 1 years,$0 ($USD),$0-999
690,25-29,Man,Brazil,Some college/university study without earning a bachelor’s degree,Data Analyst,5-10 years,$100-$999,"20,000-24,999"
25360,22-24,Prefer not to say,Russia,Master’s degree,Currently not employed,< 1 years,,
182,22-24,Woman,India,I prefer not to answer,Student,1-3 years,,
209,25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Student,< 1 years,,
5233,25-29,Man,Nigeria,Bachelor’s degree,Program/Project Manager,< 1 years,$100-$999,"1,000-1,999"
664,30-34,Man,China,Master’s degree,Currently not employed,3-5 years,,
861,40-44,Man,Brazil,Master’s degree,Data Analyst,1-3 years,$0 ($USD),"25,000-29,999"
540,25-29,Man,Pakistan,Bachelor’s degree,Machine Learning Engineer,1-3 years,,
390,25-29,Woman,Nigeria,Master’s degree,Data Analyst,1-3 years,,
761,30-34,Man,India,Master’s degree,Other,1-3 years,$1-$99,$0-999
508,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years,$100-$999,"50,000-59,999"
855,18-21,Woman,Pakistan,Bachelor’s degree,Student,1-3 years,,
196,60-69,Man,Other,Master’s degree,Student,I have never written code,,
459435,18-21,Prefer not to say,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years,,
468,18-21,Man,India,Bachelor’s degree,Student,< 1 years,,
453,25-29,Man,India,Doctoral degree,Research Scientist,3-5 years,"$1000-$9,999","15,000-19,999"
488,22-24,Woman,South Korea,No formal education past high school,Student,< 1 years,,
540,60-69,Man,Australia,Doctoral degree,Data Scientist,20+ years,$100-$999,"100,000-124,999"
416,22-24,Woman,India,Doctoral degree,Research Scientist,I have never written code,$0 ($USD),$0-999
2440,35-39,Man,Mexico,Master’s degree,Data Analyst,1-3 years,$0 ($USD),"15,000-19,999"
493,30-34,Woman,Other,Bachelor’s degree,Student,< 1 years,,
2457,55-59,Man,Portugal,Doctoral degree,Business Analyst,< 1 years,"$1000-$9,999","30,000-39,999"
421,25-29,Man,India,Master’s degree,Data Scientist,< 1 years,,
2562,25-29,Man,Mexico,Master’s degree,Student,5-10 years,,
490,18-21,Woman,Turkey,Bachelor’s degree,Student,< 1 years,,
826,25-29,Man,Spain,Master’s degree,Other,5-10 years,$100-$999,"3,000-3,999"
445,40-44,Man,Spain,Master’s degree,Other,1-3 years,$100-$999,"30,000-39,999"
777,40-44,Man,Taiwan,Bachelor’s degree,Other,3-5 years,$0 ($USD),"30,000-39,999"
1399012,30-34,Man,United States of America,Master’s degree,Software Engineer,20+ years,"$10,000-$99,999","150,000-199,999"
504,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
162,40-44,Man,United States of America,Master’s degree,Business Analyst,3-5 years,,
1821,35-39,Man,Brazil,No formal education past high school,Software Engineer,10-20 years,,
1241,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years,$0 ($USD),"20,000-24,999"
432,25-29,Man,Nigeria,Master’s degree,Student,< 1 years,,
953,35-39,Man,France,Master’s degree,Machine Learning Engineer,1-3 years,"$10,000-$99,999","20,000-24,999"
623,40-44,Woman,United States of America,Master’s degree,Program/Project Manager,10-20 years,$100-$999,$0-999
419,18-21,Man,Bangladesh,Bachelor’s degree,Student,1-3 years,,
871,25-29,Man,Egypt,Master’s degree,Data Scientist,5-10 years,"$1000-$9,999","25,000-29,999"
223,30-34,Man,Singapore,Master’s degree,Program/Project Manager,1-3 years,,
850,30-34,Prefer not to say,United States of America,Bachelor’s degree,Data Engineer,5-10 years,"$10,000-$99,999","150,000-199,999"
146,18-21,Man,India,Bachelor’s degree,Student,1-3 years,,
